,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1093.610064026824,0.0,592.5596124300885
49,1093.6875303050585,0.0,594.0034991177267
48,1093.7642073922073,0.0,598.6817969266266
47,1093.8403132621618,0.0,598.6905288518295
46,1093.9149644967233,0.0,600.6277855628597
45,1093.9841531107427,0.0,603.3379199242864
44,1094.0349246653548,0.0,606.1320787087017
43,1094.058066151751,0.0,607.112860147648
42,1094.1265806977458,0.0,609.8101304416838
41,1094.199850374488,0.0,611.5332273836293
40,1094.271458443742,0.0,611.4752159353588
39,1094.3394035174422,0.0,618.2126497582747
38,1094.404830485762,0.0,621.3578676458221
37,1094.4674477017738,0.0,619.556128942504
36,1094.5271163666996,0.0,621.9786882974374
35,1094.583971115738,0.0,625.5631987181907
34,1094.638770626328,0.0,619.7445180618838
33,1094.6905833554454,0.0,622.975167267065
32,1094.7448009597133,0.0,625.3129371048859
31,1094.798107055247,0.0,624.1132552723266
30,1094.8514442391904,0.0,625.5208667732406
29,1094.9699750433076,0.0,627.6704462612435
28,1095.4462482372703,0.0,631.4628283536368
27,1095.565238030187,0.0,638.1950733734577
26,1095.4905342647983,0.0,640.6591514699331
25,1095.134394541899,0.0,644.0459894615998
24,1095.2966323904025,0.0,661.6999150447659
23,1095.4418475613697,0.0,671.304610910043
22,1095.8668577126964,0.0,679.7538653498228
21,1098.2985790932362,0.0,692.7902523613134
20,1100.1357722165108,0.0,674.4209942738631
19,1101.9630074707084,12.203556599916709,712.9444812324879
18,1103.873725781318,21.675318453227987,712.5505844724598
17,1106.4748173535313,29.693539787478755,705.0185119893788
16,1111.7841906821448,38.31588218094103,680.1780295044841
15,1118.2007964967224,47.01375349205347,671.5297484679543
14,1126.297617242692,60.79678267366339,652.0735072213785
13,1137.3590658491887,76.4031262653055,619.0169223591766
12,1154.096313317449,92.7891426271245,607.5880580509902
11,1170.906953622351,113.48816950695027,661.3703243337507
10,1189.5490211013257,139.39936386391545,716.7948494134757
9,1215.464125469746,172.15156474692776,785.9038063961871
8,1245.7354780563708,212.72315710911332,853.3621544021679
7,1301.5536393662,266.63854717507337,937.2689523828185
6,1374.193286191854,330.59300127149777,973.7603692711618
5,1446.699177628409,414.0661935266544,1029.4033053508313
4,1530.0230689533482,538.7617857845603,1087.7583206389995
3,1622.5691582791646,721.8479534375551,866.9782518097475
2,1621.8560428402552,509.4806544167928,1058.3881866878587
1,1836.4870449629923,1526.1155293654137,1526.1155320612456
