,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1804.9705777811243,1598.945152075188,1618.294228679832
49,1805.0165155509098,1598.961694633209,1618.3027122608244
48,1805.0631326354312,1598.9757454475198,1624.2556414855287
47,1805.1104409703037,1598.9889465978986,1618.735129425214
46,1805.1584525390606,1599.0036453067662,1624.051608999677
45,1805.20718123842,1599.0290688491161,1624.896717879472
44,1805.2566250083344,1599.0559816246162,1617.7508179955953
43,1805.306815216435,1599.0838292767787,1621.0181539473454
42,1805.3577702174632,1599.1149734545927,1624.2563526941492
41,1805.4095105179194,1599.1492747971647,1623.0390792642454
40,1805.462057954955,1599.183128538571,1619.3441644926893
39,1805.5154365952412,1599.2142646482184,1622.0491687252995
38,1805.5696579758774,1599.2451021293714,1620.2015227948277
37,1805.624754124135,1599.2761643210176,1622.025668336809
36,1805.6807553342314,1599.3072731075954,1622.8934521909084
35,1805.7375996045557,1599.3388066895322,1620.4697177980802
34,1805.7952064987714,1599.3691956126806,1620.8186461786945
33,1805.852330250913,1599.3975394533566,1619.342415445222
32,1805.907846924775,1599.4227035477486,1622.804330236568
31,1805.9642624023622,1599.4479234897108,1619.6011510742796
30,1806.0216802456673,1599.4818819842435,1617.1299220078758
29,1806.0800129840684,1599.5371301621403,1619.3635441512706
28,1806.1395019684478,1599.6040679176933,1623.0478847129775
27,1806.2002118280054,1599.6757945325865,1622.979369311514
26,1806.2622158427914,1599.7614981905037,1621.3250591811711
25,1806.3255961175776,1599.859551881868,1623.253414148145
24,1806.39044592404,1599.9691246611014,1622.795157765509
23,1806.456870293503,1600.0942564629254,1622.7180512339305
22,1806.5249886628596,1600.2380613394025,1621.626944302029
21,1806.594935790779,1600.3955912279732,1623.3686894820505
20,1806.6668650818535,1600.5761468803871,1621.122959315562
19,1806.7409503195333,1600.731669242122,1620.7041719932288
18,1806.8173569083672,1600.5158679391477,1619.393261944833
17,1806.8919032612182,1600.7035163018406,1613.6027871363167
16,1806.9681244660246,1601.544204811537,1615.3367384689811
15,1807.048076188605,1601.277500678723,1614.868220513996
14,1807.13965467058,1601.3876139202175,1614.4476343893364
13,1807.243254114024,1601.6040960695536,1613.4894600982204
12,1807.3542351614828,1601.8028995967004,1610.4275584816146
11,1807.4727325781664,1601.9750231248076,1611.2060654048435
10,1808.6530544884629,1602.139103796735,1609.2486779384287
9,1810.9986432828434,1602.298749191323,1607.5764824397925
8,1813.458496123272,1602.4197330395236,1610.6827574400936
7,1814.0587949141989,1602.766797402969,1614.375417552744
6,1805.4243653554406,1606.6029660719962,1615.4230870204785
5,1803.3951059038961,1615.267004664562,1618.4285359517069
4,1802.7148980570978,1632.3174169553074,1632.3174170889672
3,1810.0794230956806,1662.0694829576291,1662.0694831504914
2,1826.9117856747985,1721.5736150094551,1721.5736152920408
1,1953.0098838461277,1900.0860114170655,1900.0860117487848
