,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1213.7509518582162,331.0824310113809,812.5399680404565
49,1213.767155124252,331.55284632950645,814.6072804465936
48,1213.7833262133215,331.9933264761517,816.067708015437
47,1213.7994764329412,332.2521770369645,817.8857990529503
46,1213.8155921852572,332.52168658690005,820.0362052330421
45,1213.8316269416946,332.8027314318915,822.8598031084761
44,1213.8475166784956,333.0941119415707,824.3879171816475
43,1213.8631585061448,333.3946173844682,828.5423265248404
42,1213.8784143709725,333.704028425094,832.272473787029
41,1213.89310849034,334.02229779782766,834.718062669868
40,1213.907035690857,334.34926914410596,837.5596914400041
39,1213.9195724165922,334.6848550780468,840.2936453848739
38,1213.930979878828,335.0284715260308,844.0854606014514
37,1213.9412771904097,335.3805726417488,846.6372891785312
36,1213.950934082608,335.74174356970354,850.3537186603719
35,1213.9634824744824,336.1120239926764,849.7572523418924
34,1213.9769896355397,337.4001252987934,853.1929789819153
33,1213.9885323594851,340.0410464676039,854.4893792296784
32,1214.02761979602,342.69968942755116,860.1871575664353
31,1214.3368876862744,345.3761296245554,859.5750332366173
30,1214.4397415413264,348.0704202305465,860.1051649665508
29,1214.4123541414972,350.7823811627228,865.3542760504187
28,1214.3098971729528,353.51279826991066,865.4744135938249
27,1214.0830510129742,356.26221225593133,869.0823078121174
26,1214.2366115437221,359.0314358843754,873.7310291120325
25,1214.3188068831475,361.8215063565592,870.5711379599763
24,1214.4110054535981,364.6339969175727,873.2138135668816
23,1214.5263385595727,367.47113808208456,882.2550370960998
22,1214.7208415743755,370.3356987465146,878.8631809086022
21,1214.8503438726032,373.2314374445458,878.5602392023449
20,1214.871054800723,376.1630200500663,880.9241535387459
19,1214.964065949898,379.13630837973045,872.7011953122783
18,1215.0776588595195,384.28071909079983,872.4214664079556
17,1215.207111794328,391.7012102221196,858.2298483209015
16,1217.373652407859,399.1980998451287,848.7862796615328
15,1219.787741778981,406.78072251109785,837.0564918870361
14,1223.0065242783926,414.3935438278745,825.2460737066133
13,1231.1563436615102,421.5490973588977,810.1560405102791
12,1239.8890545682696,432.7678297614894,821.8214598570628
11,1250.5180517085219,445.79869303920856,846.7891990855098
10,1263.8507090760265,458.6104129889951,856.8841624419649
9,1281.201083781264,475.6161371746298,930.1085390054216
8,1298.5917522541602,495.8041396569966,981.6289157581853
7,1331.5459108061525,521.6849367231359,1019.011881417378
6,1380.4746520556291,555.2535130867889,1034.0817947289752
5,1447.4122705216828,602.4674505581747,1048.228982801305
4,1530.5379617311821,666.757832038603,1088.6010014422507
3,1622.632196622604,763.7604108514308,866.8811569910772
2,1621.8490071046165,547.3414049260907,1058.388186697747
1,1836.487044526701,1526.1155296724958,1526.1155320805403
