,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,3033.9000551174513,3012.8132838199936,3012.8132825892158
49,3033.9213511052117,3012.8132836932396,3012.813282583847
48,3033.9428414788067,3012.8132837382113,3012.8132825848515
47,3033.96416996084,3012.813283593823,3012.8132825855832
46,3033.9853798238805,3012.813283474856,3012.813282586075
45,3034.006519513097,3012.8132833696536,3012.813282586811
44,3034.027625078539,3012.813283278157,3012.81328258676
43,3034.0480905434806,3012.813283323051,3012.8132825862854
42,3034.06846252968,3012.8132832467286,3012.8132825843777
41,3034.0890512650894,3012.813283275713,3012.813282588774
40,3034.1099571900595,3012.8132831786943,3012.8132825886737
39,3034.130474539342,3012.81328308894,3012.813282589111
38,3034.1495214528727,3012.813283010385,3012.8132825890584
37,3034.1691004044233,3012.81328293716,3012.8132825895586
36,3034.189366324751,3012.8132828627326,3012.8132825887446
35,3034.2104630325143,3012.8132828143184,3012.813282590585
34,3034.232505208808,3012.81328278018,3012.813282593879
33,3034.255449616755,3012.8132827394506,3012.813282595059
32,3034.279377996698,3012.813282699662,3012.8132825919524
31,3034.32837352155,3012.8132826774076,3012.8132825879543
30,3034.501748869651,3012.8132826570954,3012.813282587469
29,3034.6550880804944,3012.813282635268,3012.813282588982
28,3034.7538680780194,3012.813282667132,3012.8132825884873
27,3034.8168214055554,3012.813282648246,3012.8132825891516
26,3034.8615699881284,3012.8132826220394,3012.8132825864955
25,3034.899357080688,3012.8132826275723,3012.8132825888965
24,3034.9355813885354,3012.813282642649,3012.8132825903563
23,3034.971820736606,3012.813282659527,3012.8132825956163
22,3035.0108198900325,3012.8132826850215,3012.813282593257
21,3035.0535742467932,3012.813282689918,3012.8132825927482
20,3035.099771935765,3012.8132826705464,3012.813282582909
19,3035.148731273605,3012.8132826847173,3012.813282586408
18,3035.198777260343,3012.813282649377,3012.813282583395
17,3035.251206128926,3012.8132827423037,3012.8132825942116
16,3035.3081755434314,3012.813282656556,3012.813282603966
15,3035.3396010606602,3012.8132826094306,3012.813282595606
14,3035.3725643271964,3012.8132826502933,3012.813282590366
13,3035.4065765891014,3012.8132825669186,3012.813282570032
12,3035.4498271722487,3012.8132826707974,3012.8132825737016
11,3035.5001870624255,3012.8132827175095,3012.813282565421
10,3035.592146782447,3012.8132826932915,3012.813282578094
9,3035.7089219305894,3012.813282781091,3012.8132825656858
8,3035.7840581464175,3012.81328281482,3012.81328254226
7,3035.8599010534167,3012.813282769179,3012.813282544681
6,3035.9410694389617,3014.7967536786878,3014.796753654456
5,3036.029404429227,3016.780224725889,3016.7802246806127
4,3036.238532636346,3018.7636958421313,3018.763695761873
3,3038.105851525541,3022.7306378467392,3022.730637949038
2,3037.6850065996887,3030.664521848582,3030.664522233874
1,3054.466174366754,3054.4661746286233,3054.466175120078
