,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1287.0522216974819,583.4402917110463,965.9372993537778
49,1287.083901830687,583.941862941036,967.2571866446715
48,1287.1150833810534,584.4680979787607,968.0921464901421
47,1287.1473192603087,585.0215548387446,964.8879020662271
46,1287.1807786418499,585.605171028627,966.5314480408754
45,1287.215538038078,586.8920820171967,965.1583103367291
44,1287.2516711242033,590.6979023360691,964.6135638610258
43,1287.2892472710328,589.6234516417223,965.6410374972824
42,1287.328321302742,586.7758331689436,966.756537102651
41,1287.3687917690202,584.6315234114095,968.0965839382249
40,1287.4089090635696,584.682523664783,968.6304434956186
39,1287.4420883691325,585.5673876462549,970.6654137651788
38,1287.475112569091,586.4833423493064,968.6193891140907
37,1287.5071308281347,586.5054093257721,970.4467656253652
36,1287.5367475958635,586.5397145640778,972.1056236356897
35,1287.5616482963296,586.6838951487135,972.0207498106046
34,1287.577911776232,587.2711070332826,971.2659648369399
33,1287.579081562593,587.8599670682081,967.5976269833945
32,1287.5596576663927,588.4433593712661,967.2168610055837
31,1287.5304455673931,589.057547164,974.7075529108713
30,1287.4917049360245,589.7230961587342,974.3764742723002
29,1287.482696746922,590.3526481692388,971.1887669296333
28,1287.5532903644632,590.9671599691209,969.2600510840264
27,1287.762581616101,591.5388010590149,970.2940781092965
26,1287.8516751136444,592.0724923153215,969.4478924293074
25,1287.8737783231952,592.5797092971299,969.858888622325
24,1287.8833047751807,593.5114129404353,969.7728743256698
23,1287.8928932835358,596.619863828054,965.5039867002816
22,1287.9149105030804,600.4050568666397,961.6615906114473
21,1288.014628002189,604.1939428757642,961.5404370419176
20,1288.2153899096425,608.040615035641,948.903273397894
19,1288.3885211321008,611.77553564301,947.1448350705642
18,1288.537733867966,614.2137387798944,938.2869664755201
17,1288.6760478017902,616.1899588918317,939.4328779592133
16,1288.9980750664831,619.5605492033695,945.3413067534779
15,1290.9955646822825,628.0079567326152,947.7198812753768
14,1294.2103655938395,630.1565894000944,948.8732595080668
13,1302.759002242964,635.7847484667464,954.825309551413
12,1311.4733787239434,642.6653483465687,951.4458738622851
11,1320.2114899545509,649.874996807421,959.0614714458718
10,1330.2065398117938,657.3425667661777,983.8187164466069
9,1344.0434713172262,667.1513918178227,1036.3093569209525
8,1357.9212092610683,681.3724489568958,1083.124771784854
7,1381.100502513791,696.7733289870844,1107.8146685887968
6,1414.0342109100984,720.263295958863,1097.6320282035915
5,1461.0541903451108,749.8351932384711,1099.1801024277825
4,1530.9036914889161,794.4576422518174,1108.5260401815353
3,1623.150141618327,853.8687369572002,901.584896845619
2,1621.8423220094871,662.9458489936652,1060.0903269790592
1,1836.4870446718435,1526.1155289385183,1526.115532032781
