,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1550.063721204367,1177.698023027935,1347.9106510008787
49,1550.0684363532291,1177.8812364197697,1347.7033335650697
48,1550.0803987545448,1178.069415450364,1347.5334652940578
47,1550.0928438639855,1178.2625185191641,1347.066530202952
46,1550.1058357219756,1178.4605023270703,1346.7017727318892
45,1550.1194536809403,1178.667449466774,1346.408918824896
44,1550.1338031511095,1178.8864263518178,1346.516107705979
43,1550.1490262425095,1179.1121957691216,1346.5701055815214
42,1550.1653175000736,1179.344964873636,1346.509091421343
41,1550.1829458870059,1179.584854270469,1346.2923621556538
40,1550.2022881371813,1179.8317737156347,1346.3944614110214
39,1550.2238771461255,1180.0852274629149,1346.4925761197098
38,1550.2484700910436,1180.34424041775,1346.3734936475398
37,1550.2771532377394,1180.6066445322278,1346.3685705963114
36,1550.3164688853592,1181.2350406107373,1346.7280428511021
35,1550.3575477621316,1182.1771154149121,1346.7883439031393
34,1550.4058913395822,1179.4238696976809,1346.3486518782474
33,1550.455714304366,1178.9238548172082,1346.083825919631
32,1550.5134557590857,1177.1328845202247,1345.6578536142833
31,1550.5791507167703,1179.2059287036627,1347.350306721591
30,1550.6487814855877,1179.8000483316782,1347.207320988573
29,1550.713800956835,1180.03339952075,1344.1266227657684
28,1550.7942603553893,1180.2999015914168,1343.5366220364015
27,1550.8846676841406,1180.69019055994,1342.7245348976742
26,1550.977986902401,1181.1539759438917,1342.1760118406482
25,1551.0743913328688,1181.7127717065491,1341.348753179833
24,1551.1740744308256,1182.2908347104596,1339.2824431718093
23,1551.2772550103975,1182.8634020281165,1337.0354799258264
22,1551.3841788236944,1183.433709739852,1334.8254349548429
21,1551.4951388083605,1184.0047916386281,1332.0471948738184
20,1551.6104804934853,1184.579565483712,1330.1764611680285
19,1552.3788810324008,1185.1605426341603,1327.2947505583577
18,1554.502483432341,1185.7463304810767,1324.4366800266016
17,1556.6324410811246,1186.3369641627137,1326.9084976616084
16,1558.7673390155521,1186.9358116897945,1326.5271240249187
15,1560.9076691432115,1187.5410936191047,1333.932524379289
14,1563.0540529737152,1188.1491164236907,1332.2857104224868
13,1565.2077889245852,1188.7316291925417,1332.409408107174
12,1567.3705527718005,1189.553092398115,1340.908730586834
11,1569.5464360450403,1190.530994918973,1343.3921516978578
10,1571.7315009006359,1191.5652271302067,1343.715692871628
9,1576.5976109286848,1192.594741457546,1340.0327220203435
8,1582.9199055241895,1194.1660793497408,1333.8158823805325
7,1589.3014449501654,1200.126501911451,1326.3637790880694
6,1598.577382079525,1208.5063164150072,1280.3222030543002
5,1611.0418742388845,1213.641557137463,1289.598528745206
4,1630.5674280625528,1221.314217542821,1263.4264590090825
3,1662.2161023364422,1224.814751892679,1237.198469418982
2,1645.9582364580556,1207.0968080236362,1265.68042313229
1,1836.4870449608218,1593.4111589049924,1593.4111592933295
