,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,2274.771445023442,2165.871135455715,2175.340650442746
49,2274.7956727628894,2165.871135459072,2175.353781034346
48,2274.820640038405,2165.8711354500833,2175.369889852018
47,2274.846372363955,2165.871135448569,2175.3947720073675
46,2274.8728952090305,2165.8711354344073,2175.4249593736085
45,2274.900234103678,2165.8711354213024,2175.462125290336
44,2274.9284148528104,2165.8711354112625,2175.5112705381352
43,2274.9574631353985,2165.871135392684,2175.5399815842893
42,2274.9874056639264,2165.8711353839512,2175.4863750186955
41,2275.0182675386136,2165.871135376138,2175.419561135727
40,2275.050077035505,2165.8711353675003,2175.337000937639
39,2275.082860956343,2165.8711353573044,2175.236956255376
38,2275.1166477664965,2165.8711353466992,2175.3584690383927
37,2275.1514660039097,2165.871135378352,2175.4733494291636
36,2275.18734617795,2165.871135351966,2175.600004227719
35,2275.2243199842533,2165.8711353294498,2175.390318977971
34,2275.262420105512,2165.8711353155904,2175.2698580501706
33,2275.3016804196027,2165.8711353350172,2174.640135766541
32,2275.3409130356,2165.8711352934865,2175.1074302734833
31,2275.380965686284,2165.8711352834116,2173.527230315344
30,2275.4222368357896,2165.871135272885,2171.2472183304412
29,2275.4643454451093,2165.871135261968,2173.1526198045312
28,2275.5075788435365,2165.8711352527444,2173.7284969582033
27,2275.5520913843848,2165.871135243046,2173.722103057077
26,2275.597965286359,2165.871135233073,2173.5606889505616
25,2275.6452950312632,2165.871135217629,2173.5265783677282
24,2275.6941590526894,2165.8711352140567,2173.5004540859813
23,2275.7446294813312,2165.8711352214473,2173.494838128828
22,2275.7968054895464,2165.8711352014916,2173.518022612687
21,2275.850799902503,2165.871135213986,2173.5809173341113
20,2275.906754226376,2165.871135192671,2173.3580195908735
19,2275.964841536794,2165.8711351929996,2173.075058558045
18,2276.025268714032,2165.8711351893576,2173.6936699311204
17,2276.088290461699,2165.8711351853567,2173.7661629213408
16,2276.1542231189514,2165.8711351762204,2173.613243278652
15,2276.223476255944,2165.8711352123523,2173.650252454428
14,2276.295651166887,2165.8711351749794,2173.7407176888423
13,2276.3715814495304,2167.8546063092726,2173.951728263509
12,2276.4570668168703,2169.8380772833134,2174.4433388315497
11,2276.552879584196,2171.821548316494,2175.3584223819757
10,2276.6593595944655,2173.805019387818,2175.6336180541675
9,2276.782578793607,2175.7884904184248,2175.8562941493
8,2276.9387416766026,2177.771961475265,2177.771961645366
7,2277.1107705908344,2179.7554325468814,2179.755432737651
6,2277.0913993708205,2185.7058456842724,2185.7058459358286
5,2277.9507446743787,2191.656258895599,2191.6562591057827
4,2278.9393000586415,2201.5736143116574,2201.5736144646335
3,2273.8401189555043,2217.4413829546424,2217.4413830497383
2,2279.8178245092276,2249.1769200874005,2249.176920199673
1,2346.3670025510164,2346.367001502645,2346.3670026938485
