,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,2698.135481765871,2649.83807715715,2649.8380765480765
49,2698.16013958601,2649.8380770754334,2649.83807654536
48,2698.1959894545685,2649.8380771046213,2649.8380765462257
47,2698.2400377946515,2649.838077131293,2649.8380765463367
46,2698.284421905712,2649.8380769085065,2649.8380765459347
45,2698.3291243331696,2649.838076861404,2649.8380765448082
44,2698.3741289546524,2649.8380768273105,2649.838076544737
43,2698.4194201114165,2649.8380768466836,2649.838076543102
42,2698.4635827451216,2649.838076804411,2649.8380765429033
41,2698.5073252414663,2649.8380768496395,2649.8380765425495
40,2698.55106500038,2649.8380768190304,2649.838076541842
39,2698.5948596918042,2649.8380767899985,2649.8380765420457
38,2698.6387615432095,2649.83807678816,2649.838076542631
37,2698.682816966763,2649.838076696377,2649.838076549513
36,2698.7270663921045,2649.838076678267,2649.838076543589
35,2698.771543987143,2649.838076664464,2649.8380765405186
34,2698.8162784168603,2649.838076647073,2649.838076538317
33,2698.861291646894,2649.838076635308,2649.838076538275
32,2698.906600179629,2649.8380766250443,2649.8380765392926
31,2698.952215300484,2649.838076615259,2649.8380765353004
30,2698.9981414713498,2649.838076658275,2649.8380765370057
29,2699.044379932884,2649.8380766209343,2649.8380765348816
28,2699.0909449371434,2649.8380765960824,2649.8380765319553
27,2699.137775002117,2649.8380765942975,2649.838076530703
26,2699.184855964526,2649.8380765882853,2649.8380765303955
25,2699.2318703394794,2649.8380765880092,2649.83807653226
24,2699.2776063338424,2649.838076578179,2649.8380765309394
23,2699.3243740075404,2649.838076577672,2649.838076530961
22,2699.3636216516084,2649.838076591371,2649.8380765446886
21,2699.390703632871,2649.8380765609877,2649.838076539697
20,2699.4005438530003,2649.83807655204,2649.8380765402767
19,2699.411144857476,2649.8380765395555,2649.838076540342
18,2699.428636534067,2649.838076518811,2649.83807653386
17,2699.4900613935242,2649.8380765126426,2649.838076529898
16,2699.5458919594894,2649.838076485544,2649.838076536306
15,2699.587718615665,2649.8380764530634,2649.838076530697
14,2699.631372614017,2649.838076408252,2649.8380765351258
13,2699.6903164858263,2649.8380764771896,2649.8380765352927
12,2699.779169846362,2649.8380765698744,2649.8380765486836
11,2699.870818016827,2649.8380765630095,2649.838076531442
10,2699.984934837324,2649.838076552952,2649.8380765331262
9,2700.1099072808247,2651.821547570363,2651.8215475986
8,2700.167028795673,2653.805018518448,2653.8050186718583
7,2700.204492531835,2655.788489411073,2655.788489748145
6,2700.243830714285,2657.771960692537,2657.7719608226885
5,2700.3414660911935,2659.7554321264315,2659.755431923865
4,2701.388501646442,2665.7058452379947,2665.705845128314
3,2704.877374154855,2673.6397293125374,2673.639729412328
2,2706.929417731626,2689.5074978905327,2689.5074979690553
1,2739.094274006751,2739.094273910037,2739.094274782428
