,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,3262.2055686701387,3254.7967549385426,3254.796753242082
49,3262.208438617415,3254.796754829281,3254.7967532434113
48,3262.211133497304,3254.7967547601015,3254.796753243866
47,3262.213923603124,3254.7967546558425,3254.796753245377
46,3262.2168298912347,3254.796754666107,3254.7967532463927
45,3262.219842078938,3254.796754534984,3254.796753253456
44,3262.2229511060546,3254.7967544218322,3254.7967532404455
43,3262.226185765389,3254.7967543593427,3254.7967532488738
42,3262.229587189127,3254.7967542272872,3254.7967532504126
41,3262.233065224227,3254.796754131751,3254.796753251426
40,3262.236930260297,3254.7967540589707,3254.796753252086
39,3262.240921089803,3254.7967539971314,3254.796753251865
38,3262.2449878727566,3254.7967539506376,3254.796753250981
37,3262.2491436830633,3254.796753963043,3254.7967532518833
36,3262.2534090240374,3254.796753906998,3254.7967532521016
35,3262.257818442003,3254.796753857397,3254.7967532467087
34,3262.2622309945764,3254.796753909394,3254.7967532525945
33,3262.2664049935984,3254.796753804156,3254.796753256186
32,3262.2706576949668,3254.7967537348363,3254.7967532552657
31,3262.2749952269814,3254.796753725032,3254.7967532583184
30,3262.279425702419,3254.796753652421,3254.7967532619377
29,3262.283957796468,3254.7967536492297,3254.7967532611
28,3262.2886012431577,3254.796753633835,3254.7967532662724
27,3262.2933675745694,3254.7967537307736,3254.79675325305
26,3262.2982701752167,3254.796753685248,3254.7967532676685
25,3262.303325242946,3254.7967536650926,3254.7967532583334
24,3262.3085516033625,3254.7967536327947,3254.79675325732
23,3262.313971646915,3254.796753541906,3254.7967532461507
22,3262.3196131048735,3254.796753540526,3254.7967532508587
21,3262.325509037702,3254.796753479181,3254.796753250562
20,3262.331698135529,3254.7967533322417,3254.7967532535163
19,3262.3382007500854,3254.796753521216,3254.796753329086
18,3262.3449931095124,3254.7967534240456,3254.7967532508924
17,3262.3519277952405,3254.796753389056,3254.796753248966
16,3262.359288809771,3254.7967532576536,3254.7967532510324
15,3262.3674440827026,3254.796753360993,3254.796753246094
14,3262.376312061637,3254.7967533521432,3254.7967532488515
13,3262.3859239849435,3254.796753312367,3254.7967532447924
12,3262.396477658281,3254.796753327825,3254.7967532423413
11,3262.408374176325,3254.796753498881,3254.7967532422554
10,3262.422074684036,3254.7967536277406,3254.7967532462917
9,3262.4380024011543,3254.7967535868916,3254.796753240067
8,3262.4572122874624,3254.7967535895796,3254.796753234687
7,3262.4809890810334,3254.7967534326044,3254.7967532378934
6,3262.5112687628457,3254.79675332564,3254.796753245406
5,3262.5500270150137,3254.7967535389034,3254.7967532326347
4,3262.5920038102217,3256.7802244577624,3256.7802242887064
3,3262.586985776345,3258.76369542859,3258.7636953891533
2,3263.501434336463,3262.7306373462575,3262.7306377049954
1,3274.631462703262,3274.6314636901534,3274.6314639922357
