,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,960.9895591450118,0.0,384.8042267082815
49,961.1093755368265,0.0,393.02335403066184
48,961.2352196106335,0.0,401.31646416355443
47,961.3672286381288,0.0,403.78361510413305
46,961.5056107834005,0.0,388.2339784893527
45,961.6490813712229,0.0,391.0702420336056
44,961.788773511963,0.0,412.36201281205945
43,961.9269313014859,0.0,393.782639404133
42,962.0643036085942,0.0,404.7803883356082
41,962.2011835894897,0.0,397.2192715109089
40,962.3292157995756,0.0,392.5756466777922
39,964.0860013843753,0.0,386.3414949737094
38,966.1552549315095,0.0,383.46530889704985
37,968.2120125753773,0.0,383.3974269095206
36,970.2561966847439,0.0,380.2072613676487
35,972.2890124122465,0.0,374.21001760238266
34,974.3124431844835,0.0,375.8743488639941
33,976.3264155425419,0.0,379.2581011337665
32,978.3450669620786,0.0,387.5044795856139
31,980.3685666204593,0.0,393.4527101081799
30,982.4282633038848,0.0,398.9038611964668
29,985.2917251855796,0.0,403.1461533531645
28,987.518278260956,0.0,408.3039523864263
27,989.3781852036429,0.0,410.3356249055306
26,990.9173816988932,0.0,419.25903812960655
25,991.9584996376416,0.0,424.27485361756624
24,994.0746435662229,0.0,437.6512224166622
23,996.1624841232467,0.0,470.8192638603992
22,998.2723981210283,0.0,481.96381820424006
21,1000.5714626046797,0.0,488.34447885594284
20,1002.4417030963546,0.0,504.1638653591669
19,1006.1812863338278,0.0,515.8079861667418
18,1012.1993658112675,0.0,528.3939319910066
17,1019.4091256651612,0.0,519.4329320215652
16,1029.6403304981625,0.0,481.27582835481604
15,1041.928361731657,0.0,480.35608695443733
14,1057.4089255031304,0.0,461.9731385290256
13,1081.2105783477855,0.0,424.9118045639482
12,1105.0122311982977,0.0,413.2893736776283
11,1128.8138840533927,0.0,461.94948719572085
10,1161.032982367236,0.0,571.7443640198688
9,1200.7024037695398,0.0,675.1800211104535
8,1240.3718251849618,22.251848792717823,811.889798012245
7,1300.9346522017283,102.47707162074616,912.6826554238036
6,1373.57119136353,213.8764391145285,976.8313959431308
5,1446.1534114226606,365.4482070028986,1027.5474794904678
4,1529.2713915752936,524.0485006961443,1084.2841404237593
3,1622.731720268877,713.5357800471587,866.9417723727987
2,1621.8329727255086,493.22096186200383,1058.3881866782983
1,1836.4870449402883,1526.1155300572664,1526.1155320589958
