,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1149.6238042727437,109.70985310847176,682.6102598304782
49,1149.6706110401808,110.25728515185574,685.3653419138205
48,1149.7182354146341,111.64986166572261,688.5822588626781
47,1149.7594185365363,112.67752037330794,690.9044042157848
46,1149.804536653412,113.59215975155577,694.1404374940765
45,1149.8521851315982,114.46743529980962,697.4966152634679
44,1149.8993629434306,115.33664662137717,700.6457997899482
43,1149.9459912835293,116.16381276638919,703.6839484061954
42,1149.9919697106714,116.95172179228135,706.4843963897098
41,1150.0369292932828,117.77387552356598,709.9032686363969
40,1150.0806071295567,118.63633072353262,712.3271606050128
39,1150.1227761798564,119.54231713777261,716.9577809880828
38,1150.1628623931804,120.49323773605741,719.7281452606031
37,1150.2019428926462,121.5194339718176,722.2790538353628
36,1150.2395393383886,122.58305641266206,723.1854058642906
35,1150.27440499627,123.67148281984754,725.880858851559
34,1150.3077375421399,124.80578446732376,728.3122465282503
33,1150.3419448886707,126.0001332472734,730.5821556559322
32,1150.374287356079,127.25982870030269,732.3499550854821
31,1150.4057859650406,128.58737788448875,733.1301158544582
30,1150.4412799214115,129.98544839379244,737.2418892289111
29,1150.85094284949,131.45699583488073,740.6070541534534
28,1150.993536957345,133.00503882555157,742.751777440281
27,1150.9989542355515,134.63255388570957,744.923274691477
26,1150.844962459741,136.34218847757745,744.1658199200623
25,1150.7379500813379,138.13610607071703,750.3795374582743
24,1150.8623411791275,141.02755674496802,763.218868706907
23,1151.0016497543213,146.4894041664246,762.5704693343291
22,1151.1575065934628,152.09928014305956,782.4317819407175
21,1151.4537711984497,157.86392683276267,786.7326516490182
20,1151.3935815212676,163.64367095139892,789.4669199895905
19,1151.4786843559166,169.55720787385116,800.4788864361124
18,1151.601506061308,175.62835976257958,785.5444315356594
17,1151.7104421428255,181.97136586380034,776.4924595183268
16,1154.0759130434208,188.40250246123668,767.1003895531118
15,1159.8597225682822,200.26366302390795,753.8303353944402
14,1167.9566985090678,213.1095886733424,734.0392181557539
13,1179.1252846002499,226.01545630981553,714.9043464885486
12,1190.907300692051,239.27908827559258,707.9587021520053
11,1202.709245532339,260.8969224140772,726.2021463828756
10,1217.4458961250075,283.2340757350106,758.3467999764284
9,1240.269658134074,312.40914547108315,840.5695562509613
8,1263.1258455283757,346.1324790838569,903.9364243320545
7,1307.5737295540684,390.01686592037777,955.8548817885573
6,1374.5326831173911,443.01986660607,993.7498285040236
5,1446.9954761982174,498.5487507022434,1031.2531221109623
4,1530.237106474721,592.4644200407101,1091.7315959969687
3,1622.130292695327,726.2386841968677,866.9433922708201
2,1621.8573271431223,517.2301452900635,1058.3881866975871
1,1836.4870448165036,1526.1155298536742,1526.115532078464
