,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,912.9018636056187,0.0,313.09987591235574
49,913.0320810196059,0.0,313.9375494108586
48,913.1692259261023,0.0,306.75636887712534
47,914.8873093209081,0.0,313.32701186009336
46,917.0662166401271,0.0,319.65153020154764
45,919.2545344650016,0.0,317.211807389558
44,921.4523099564957,0.0,318.3200852629233
43,923.6459154156523,0.0,322.1813530298449
42,925.8257421832323,0.0,328.23245862249445
41,927.9953921668584,0.0,329.295910088764
40,930.1562759706122,0.0,333.74016405509997
39,932.3005593321134,0.0,334.35012755317587
38,934.4039440014369,0.0,332.64449346708676
37,936.4935461958133,0.0,321.98440637378235
36,938.5692547633624,0.0,314.5578674505722
35,940.6338737466527,0.0,324.5617030451052
34,942.6896077500182,0.0,305.8055412803157
33,944.7356217621674,0.0,313.8740083446829
32,946.7865725374046,0.0,307.8968645041285
31,948.843809883958,0.0,298.34821413438925
30,951.2455934590879,0.0,301.03764022291085
29,953.8788668740556,0.0,302.2610867504038
28,955.9920945743334,0.0,310.58169308365365
27,957.7454967293788,0.0,314.3753441939177
26,959.0774349676551,0.0,316.9148212077297
25,960.354289314539,0.0,332.30087073039965
24,962.4082958288866,0.0,353.39551527019046
23,966.8784591087121,0.0,388.8857981165231
22,972.8900567897256,0.0,397.3519098873102
21,979.1041963035448,0.0,402.1037210122922
20,984.8459855698654,0.0,393.05850302456645
19,990.3200457270186,0.0,447.6194880580615
18,996.3959566755198,0.0,455.78322011088284
17,1003.6063764967955,0.0,458.4698911379764
16,1013.7725619357261,0.0,423.1604289610021
15,1033.6072726579011,0.0,417.6110545553505
14,1057.4089255023841,0.0,398.31634326062886
13,1081.2105783491882,0.0,362.51118015393877
12,1105.012231199408,0.0,330.25004663988784
11,1128.8138840545307,0.0,434.0719640449365
10,1161.032982366557,0.0,519.7271411749462
9,1200.7024037761564,0.0,675.1516288237922
8,1240.3718251850178,11.522064083603425,788.3804525298731
7,1300.6012418181158,94.43714638835198,918.8388926651589
6,1373.2154610236291,217.58675583025453,984.3884711032924
5,1445.7305666907841,366.1017750342843,1032.4886122830335
4,1528.6303575463228,518.8756458000049,1084.130604583983
3,1622.474927374704,700.3035471425101,866.8818352596959
2,1621.8600250809898,492.908627285565,1058.388186675298
1,1836.4870448776792,1526.1155304803942,1526.1155320511104
