,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1371.5714358745508,796.6902375112752,1063.3912521391383
49,1371.5857864146524,797.0309094333059,1063.227102634573
48,1371.6000165125838,797.3565359600865,1063.3679433199843
47,1371.6140696437399,797.6763047136158,1063.2157479330479
46,1371.6278773111565,797.996761763464,1063.1929745630446
45,1371.6413613344562,798.3526791144743,1063.2288870606683
44,1371.654439843546,798.7712659476736,1063.0660341857565
43,1371.667039257186,799.1862676330779,1062.8143703006963
42,1371.67911615166,799.6078455207526,1062.6835452566165
41,1371.6907051695184,800.0453010230983,1062.600361581629
40,1371.7020035188236,800.5099381181806,1062.5966608934077
39,1371.7134743023325,801.0178354872095,1062.344712554527
38,1371.7167279175762,801.3089650629739,1060.3060091468508
37,1371.7209698754018,802.463764873383,1058.531201575833
36,1371.7310957744698,802.5562499047952,1056.7231109133747
35,1371.7474564769952,802.4986275405606,1054.8814859325887
34,1371.766892047729,802.3665627072983,1052.890676074479
33,1371.769953877371,802.2763410768471,1052.929961919825
32,1371.7835802367877,803.3820426514221,1054.2319071752709
31,1371.8257475587463,804.1302281000737,1056.9738648196476
30,1371.8315361489715,805.225756977086,1059.906272229423
29,1371.8253495287665,806.2192398915621,1062.78026799225
28,1371.8074883279921,807.1696402426085,1065.2991646190053
27,1371.7873832514376,808.0795063043513,1067.8967042082218
26,1371.7674889358482,808.959111784366,1069.900897606897
25,1371.748470710569,809.8368557491762,1072.4577729820012
24,1371.7320264205998,810.7259547359869,1074.4546871207858
23,1371.7214848859646,811.6368806764754,1076.2561277605917
22,1371.726068715041,812.5789171984316,1077.7125613651926
21,1371.7588401887483,813.5611817558026,1079.7323475909902
20,1371.8449686247675,814.5929570634124,1081.2039426267481
19,1372.0402491564762,815.704296913727,1082.5912574185536
18,1372.5640291251018,816.8934862634176,1084.599196882256
17,1372.5123151122314,818.1570285294258,1089.2426575952973
16,1372.6472033033406,819.5243223595285,1088.3048522055626
15,1373.4468837525212,821.0762818700673,1089.865320749937
14,1379.6051907110295,822.7528905287571,1091.1538752617175
13,1385.7826952708053,825.5753898130799,1093.4429077298953
12,1391.9855231112467,830.816883978442,1099.757939637603
11,1398.2235760298745,836.240853879268,1102.9733765622314
10,1405.0935984732473,841.6964804209292,1096.7180591496463
9,1417.3811725687672,847.8714628947392,1110.887225281428
8,1429.7024064148568,857.0295023962942,1150.952002079977
7,1446.6849429113615,868.6754375353646,1186.6646101662136
6,1467.676926882282,882.156599732272,1180.8163656587926
5,1498.6888496155584,900.767043587706,1167.5670103810933
4,1545.8865683199845,930.4428034233936,1158.6443924065131
3,1623.2899320362533,959.5891622920595,973.1635729444598
2,1622.2336824121012,819.4407017674812,1096.9322849789567
1,1836.4870450573128,1526.1155306104426,1526.1155320977318
