,Rmax,RR,NL,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
0,40,30,0,176.89109330647852,176.89109330647852,177.10851533676282
1,40,30,1,176.89109330647852,98.43937488108038,147.447529801932
2,40,30,2,176.89109330647852,48.3363915125845,112.64898203650394
3,40,30,3,176.89109330647852,0.0,56.29162286256316
4,40,30,4,176.89109330647852,0.0,14.481301189314607
5,40,30,5,176.89109330647852,0.0,2.313800235855604
6,40,30,6,176.89109330647852,0.0,2.08859503780512
7,40,30,7,176.89109330647852,0.0,0.0
8,40,30,8,176.89109330647852,0.0,0.0
9,40,30,9,176.89109330647852,0.0,0.0
10,40,30,10,176.89109330647852,0.0,0.0
11,40,30,11,176.89109330647852,0.0,0.0
12,40,30,12,176.89109330647852,0.0,0.0
13,40,30,13,176.89109330647852,0.0,0.0
14,40,30,14,176.89109330647852,0.0,0.0
15,40,29,0,176.9741019434153,176.9741019434153,177.13133766010645
16,40,29,1,176.9741019434153,98.50808398256781,149.46589396785166
17,40,29,2,176.9741019434153,48.45384330527747,110.65372156636737
18,40,29,3,176.9741019434153,0.0,56.286239569583074
19,40,29,4,176.9741019434153,0.0,17.4836028907079
20,40,29,5,176.9741019434153,0.0,2.1770279588065438
21,40,29,6,176.9741019434153,0.0,2.08859503780512
22,40,29,7,176.9741019434153,0.0,0.0
23,40,29,8,176.9741019434153,0.0,2.08859503780512
24,40,29,9,176.9741019434153,0.0,0.0
25,40,29,10,176.9741019434153,0.0,0.0
26,40,29,11,176.9741019434153,0.0,0.0
27,40,29,12,176.9741019434153,0.0,0.0
28,40,29,13,176.9741019434153,0.0,0.0
29,40,29,14,176.9741019434153,0.0,0.0
30,40,28,0,177.0437345111247,177.0437345111247,177.16399763657523
31,40,28,1,177.0437345111247,98.59151773207437,151.48475521117723
32,40,28,2,177.0437345111247,48.562816318780506,108.78711792734549
33,40,28,3,177.0437345111247,0.0,56.243076859815275
34,40,28,4,177.0437345111247,0.0,18.22499989456965
35,40,28,5,177.0437345111247,0.0,2.4819809681159284
36,40,28,6,177.0437345111247,0.0,2.08859503780512
37,40,28,7,177.0437345111247,0.0,0.0
38,40,28,8,177.0437345111247,0.0,0.0
39,40,28,9,177.0437345111247,0.0,0.0
40,40,28,10,177.0437345111247,0.0,0.0
41,40,28,11,177.0437345111247,0.0,0.0
42,40,28,12,177.0437345111247,0.0,0.0
43,40,28,13,177.0437345111247,0.0,0.0
44,40,28,14,177.0437345111247,0.0,0.0
45,40,27,0,177.1448531873315,177.1448531873315,177.21511297791608
46,40,27,1,177.1448531873315,98.69517142154767,153.5041131975289
47,40,27,2,177.1448531873315,48.58856471427981,106.95938840820914
48,40,27,3,177.1448531873315,0.0,56.178754691091086
49,40,27,4,177.1448531873315,0.0,20.271596519095667
50,40,27,5,177.1448531873315,0.0,2.60624043205913
51,40,27,6,177.1448531873315,0.0,2.08859503780512
52,40,27,7,177.1448531873315,0.0,0.0
53,40,27,8,177.1448531873315,0.0,0.0
54,40,27,9,177.1448531873315,0.0,0.0
55,40,27,10,177.1448531873315,0.0,0.0
56,40,27,11,177.1448531873315,0.0,0.0
57,40,27,12,177.1448531873315,0.0,0.0
58,40,27,13,177.1448531873315,0.0,0.0
59,40,27,14,177.1448531873315,0.0,0.0
60,40,26,0,177.27466789166198,177.27466789166198,177.3049993057498
61,40,26,1,177.27466789166198,98.8195237950457,155.5238730193086
62,40,26,2,177.27466789166198,48.56197287360699,105.09187446725043
63,40,26,3,177.27466789166198,0.0,56.084367110700114
64,40,26,4,177.27466789166198,0.0,22.201196835068416
65,40,26,5,177.27466789166198,0.0,2.08859503780512
66,40,26,6,177.27466789166198,0.0,2.08859503780512
67,40,26,7,177.27466789166198,0.0,0.0
68,40,26,8,177.27466789166198,0.0,0.0
69,40,26,9,177.27466789166198,0.0,0.0
70,40,26,10,177.27466789166198,0.0,0.0
71,40,26,11,177.27466789166198,0.0,0.0
72,40,26,12,177.27466789166198,0.0,0.0
73,40,26,13,177.27466789166198,0.0,0.0
74,40,26,14,177.27466789166198,0.0,0.0
75,40,25,0,177.4175442776529,177.4175442776529,177.47927434076408
76,40,25,1,177.4175442776529,98.96414930514909,157.54409522828252
77,40,25,2,177.4175442776529,48.521698609073084,103.20722226369121
78,40,25,3,177.4175442776529,0.0,55.976903669808536
79,40,25,4,177.4175442776529,0.0,24.135858548433745
80,40,25,5,177.4175442776529,0.0,2.08859503780512
81,40,25,6,177.4175442776529,0.0,2.08859503780512
82,40,25,7,177.4175442776529,0.0,2.08859503780512
83,40,25,8,177.4175442776529,0.0,0.0
84,40,25,9,177.4175442776529,0.0,0.0
85,40,25,10,177.4175442776529,0.0,0.0
86,40,25,11,177.4175442776529,0.0,0.0
87,40,25,12,177.4175442776529,0.0,0.0
88,40,25,13,177.4175442776529,0.0,0.0
89,40,25,14,177.4175442776529,0.0,0.0
90,40,24,0,177.55243373603702,177.55243373603702,177.6960957685288
91,40,24,1,177.55243373603702,99.09154913431409,159.56470541496572
92,40,24,2,177.55243373603702,48.46593033376291,101.35975291668758
93,40,24,3,177.55243373603702,0.0,55.848390985277504
94,40,24,4,177.55243373603702,0.0,26.024318293307587
95,40,24,5,177.55243373603702,0.0,2.08859503780512
96,40,24,6,177.55243373603702,0.0,2.08859503780512
97,40,24,7,177.55243373603702,0.0,2.08859503780512
98,40,24,8,177.55243373603702,0.0,0.0
99,40,24,9,177.55243373603702,0.0,0.0
100,40,24,10,177.55243373603702,0.0,0.0
101,40,24,11,177.55243373603702,0.0,0.0
