,FP100,FP90,FP80,FP70,FP60,FP50,FP40,FP30,FP20,FP10
Rmax,21.0,23.0,24.0,26.0,27.0,29.0,32.0,35.0,37.0,41.0
RR,2.0,3.0,4.0,4.0,4.0,6.0,6.0,6.0,7.0,7.0
LT,2.0,2.0,2.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0
Rmax_imp,63.080306715126866,59.29976316421146,55.796478091404076,52.2390018236967,49.913442147188306,46.74883342793582,43.485867412070995,40.43114858074199,39.47489741201608,38.15067813627115
RR_imp,17.984528508541352,18.679729989095705,20.271977566401265,22.310440915033777,23.572118694333966,24.823716685001454,26.272266163253,29.722376463907807,32.11716370726217,33.503204666784
LT_imp,18.93516477633178,22.020506846692843,23.93154434219466,25.45055726126953,26.51443915847773,28.427449887062732,30.241866424676,29.846474955350217,28.40793888072174,28.346117196944853
train_acc,0.8929958755155606,0.8940232470941132,0.893145856767904,0.8968878890138733,0.908893888263967,0.9241694788151481,0.9403149606299213,0.9549081364829396,0.9627296587926509,0.9728233970753656
test_acc,0.8958530183727034,0.894750656167979,0.8943132108486439,0.8981627296587926,0.9090113735783028,0.9237970253718285,0.9385476815398075,0.954488188976378,0.9625196850393701,0.9732808398950131
