,Rmax,RR,LT,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
0,50,20,0,201.42663809177066,201.42663809177066,201.52229063903798
1,50,20,1,201.42663809177066,103.38129000131958,134.25818429901898
2,50,20,2,201.42663809177066,32.60059078018968,68.32705094295275
3,50,20,3,201.42663809177066,0.0,39.13117470713338
4,50,20,4,201.42663809177066,0.0,29.367977564818275
5,50,20,5,201.42663809177066,0.0,3.559235749079697
6,50,20,6,201.42663809177066,0.0,0.0
7,50,20,7,201.42663809177066,0.0,0.0
8,50,20,8,201.42663809177066,0.0,0.0
9,50,20,9,201.42663809177066,0.0,0.0
10,50,20,10,201.42663809177066,0.0,0.0
11,50,20,11,201.42663809177066,0.0,0.0
12,50,20,12,201.42663809177066,0.0,0.0
13,50,20,13,201.42663809177066,0.0,0.0
14,50,20,14,201.42663809177066,0.0,0.0
15,50,19,0,202.52575124915137,202.52575124915137,202.58592009330567
16,50,19,1,202.52575124915137,104.45330313552928,138.22512644113
17,50,19,2,202.52575124915137,31.953521169604386,69.67659389615335
18,50,19,3,202.52575124915137,0.0,36.62421728194231
19,50,19,4,202.52575124915137,0.0,31.087022524526176
20,50,19,5,202.52575124915137,0.0,3.4557324967246217
21,50,19,6,202.52575124915137,0.0,0.0
22,50,19,7,202.52575124915137,0.0,0.0
23,50,19,8,202.52575124915137,0.0,0.0
24,50,19,9,202.52575124915137,0.0,0.0
25,50,19,10,202.52575124915137,0.0,0.0
26,50,19,11,202.52575124915137,0.0,0.0
27,50,19,12,202.52575124915137,0.0,0.0
28,50,19,13,202.52575124915137,0.0,0.0
29,50,19,14,202.52575124915137,0.0,0.0
30,50,18,0,203.55475163197764,203.55475163197764,203.59869595282828
31,50,18,1,203.55475163197764,105.48926216408276,142.19206858319353
32,50,18,2,203.55475163197764,31.62263531498637,70.54866960483024
33,50,18,3,203.55475163197764,0.0,38.54943139832994
34,50,18,4,203.55475163197764,0.0,33.75179064489089
35,50,18,5,203.55475163197764,0.0,3.6537926574426223
36,50,18,6,203.55475163197764,0.0,0.0
37,50,18,7,203.55475163197764,0.0,0.0
38,50,18,8,203.55475163197764,0.0,0.0
39,50,18,9,203.55475163197764,0.0,0.0
40,50,18,10,203.55475163197764,0.0,0.0
41,50,18,11,203.55475163197764,0.0,0.0
42,50,18,12,203.55475163197764,0.0,0.0
43,50,18,13,203.55475163197764,0.0,0.0
44,50,18,14,203.55475163197764,0.0,0.0
45,50,17,0,204.69799738206763,204.69799738206763,204.7156037553757
46,50,17,1,204.69799738206763,106.54868379769346,146.15901072668925
47,50,17,2,204.69799738206763,32.905864934806104,70.14613516025729
48,50,17,3,204.69799738206763,0.0,43.000898960030554
49,50,17,4,204.69799738206763,0.0,36.30661829085078
50,50,17,5,204.69799738206763,0.0,3.9513100836723147
51,50,17,6,204.69799738206763,0.0,0.0
52,50,17,7,204.69799738206763,0.0,0.0
53,50,17,8,204.69799738206763,0.0,0.0
54,50,17,9,204.69799738206763,0.0,0.0
55,50,17,10,204.69799738206763,0.0,0.0
56,50,17,11,204.69799738206763,0.0,0.0
57,50,17,12,204.69799738206763,0.0,0.0
58,50,17,13,204.69799738206763,0.0,0.0
59,50,17,14,204.69799738206763,0.0,0.0
60,50,16,0,206.73859542361242,206.73859542361242,206.68480168521006
61,50,16,1,206.73859542361242,110.48764702442034,150.12595286855418
62,50,16,2,206.73859542361242,37.00012480058669,69.76232986434084
63,50,16,3,206.73859542361242,0.0,48.79935148760151
64,50,16,4,206.73859542361242,0.0,36.437992179310015
65,50,16,5,206.73859542361242,0.0,3.912121869079602
66,50,16,6,206.73859542361242,0.0,0.0
67,50,16,7,206.73859542361242,0.0,0.0
68,50,16,8,206.73859542361242,0.0,0.0
69,50,16,9,206.73859542361242,0.0,0.0
70,50,16,10,206.73859542361242,0.0,0.0
71,50,16,11,206.73859542361242,0.0,0.0
72,50,16,12,206.73859542361242,0.0,0.0
73,50,16,13,206.73859542361242,0.0,0.0
74,50,16,14,206.73859542361242,0.0,0.0
75,50,15,0,208.84201477600055,208.84201477600055,208.67649744825405
76,50,15,1,208.84201477600055,116.49512558679393,154.09289501052626
77,50,15,2,208.84201477600055,41.19910168605017,70.09179923453453
78,50,15,3,208.84201477600055,0.0,55.08086293176558
79,50,15,4,208.84201477600055,0.0,38.0623755455276
80,50,15,5,208.84201477600055,0.0,3.919346795048945
81,50,15,6,208.84201477600055,0.0,0.0
82,50,15,7,208.84201477600055,0.0,0.0
83,50,15,8,208.84201477600055,0.0,0.0
84,50,15,9,208.84201477600055,0.0,0.0
85,50,15,10,208.84201477600055,0.0,0.0
86,50,15,11,208.84201477600055,0.0,0.0
87,50,15,12,208.84201477600055,0.0,0.0
88,50,15,13,208.84201477600055,0.0,0.0
89,50,15,14,208.84201477600055,0.0,0.0
90,50,14,0,210.83608451219894,210.83608451219894,210.67289664274028
91,50,14,1,210.83608451219894,122.42661625557268,158.0598371522758
92,50,14,2,210.83608451219894,45.635062464626685,72.39573653549867
93,50,14,3,210.83608451219894,0.0,60.55329713217998
94,50,14,4,210.83608451219894,0.0,37.288360463201386
95,50,14,5,210.83608451219894,0.0,4.264546047332541
96,50,14,6,210.83608451219894,0.0,1.3555190059817688
97,50,14,7,210.83608451219894,0.0,0.0
98,50,14,8,210.83608451219894,0.0,0.0
99,50,14,9,210.83608451219894,0.0,0.0
100,50,14,10,210.83608451219894,0.0,0.0
101,50,14,11,210.83608451219894,0.0,0.0
102,50,14,12,210.83608451219894,0.0,0.0
103,50,14,13,210.83608451219894,0.0,0.0
104,50,14,14,210.83608451219894,0.0,0.0
105,50,13,0,212.83666946482646,212.83666946482646,212.96841586065761
106,50,13,1,212.83666946482646,128.49685487942597,162.02677929416583
107,50,13,2,212.83666946482646,50.29072317897182,77.93700125175029
108,50,13,3,212.83666946482646,2.7003714254929037,62.5385687236368
109,50,13,4,212.83666946482646,0.0,31.16081539408117
110,50,13,5,212.83666946482646,0.0,4.5465833011312355
111,50,13,6,212.83666946482646,0.0,1.3555190059817688
112,50,13,7,212.83666946482646,0.0,0.0
113,50,13,8,212.83666946482646,0.0,0.0
114,50,13,9,212.83666946482646,0.0,0.0
115,50,13,10,212.83666946482646,0.0,0.0
116,50,13,11,212.83666946482646,0.0,0.0
117,50,13,12,212.83666946482646,0.0,0.0
118,50,13,13,212.83666946482646,0.0,0.0
119,50,13,14,212.83666946482646,0.0,0.0
120,50,12,0,215.55332698126,215.55332698126,215.63135581996673
121,50,12,1,215.55332698126,134.823713828868,165.99372143628594
122,50,12,2,215.55332698126,56.120514681607204,83.99829967420756
123,50,12,3,215.55332698126,8.360497344802042,68.47431542676776
124,50,12,4,215.55332698126,0.0,32.15446592823241
125,50,12,5,215.55332698126,0.0,3.55402103890048
126,50,12,6,215.55332698126,0.0,1.3555190059817688
127,50,12,7,215.55332698126,0.0,0.0
128,50,12,8,215.55332698126,0.0,0.0
129,50,12,9,215.55332698126,0.0,0.0
130,50,12,10,215.55332698126,0.0,0.0
131,50,12,11,215.55332698126,0.0,0.0
132,50,12,12,215.55332698126,0.0,0.0
133,50,12,13,215.55332698126,0.0,0.0
134,50,12,14,215.55332698126,0.0,0.0
135,50,11,0,219.59788305955672,219.59788305955672,219.61280238092965
136,50,11,1,219.59788305955672,141.15187926612074,169.96066357840706
137,50,11,2,219.59788305955672,63.732830538225144,90.67784484222861
138,50,11,3,219.59788305955672,17.993617933299873,71.84173579516548
139,50,11,4,219.59788305955672,0.0,25.177516980920757
140,50,11,5,219.59788305955672,0.0,3.0377076618878114
141,50,11,6,219.59788305955672,0.0,1.3555190059817688
142,50,11,7,219.59788305955672,0.0,0.0
143,50,11,8,219.59788305955672,0.0,0.0
144,50,11,9,219.59788305955672,0.0,0.0
145,50,11,10,219.59788305955672,0.0,0.0
146,50,11,11,219.59788305955672,0.0,0.0
147,50,11,12,219.59788305955672,0.0,0.0
148,50,11,13,219.59788305955672,0.0,0.0
149,50,11,14,219.59788305955672,0.0,0.0
150,50,10,0,226.15511658837448,226.15511658837448,226.1940077644015
151,50,10,1,226.15511658837448,147.68258677530036,174.32006852930633
152,50,10,2,226.15511658837448,71.66387115819128,101.6123061884578
153,50,10,3,226.15511658837448,29.043506749707547,72.46109428571015
154,50,10,4,226.15511658837448,0.0,34.29223016526872
155,50,10,5,226.15511658837448,0.0,11.440612566259617
156,50,10,6,226.15511658837448,0.0,7.928596451091494
157,50,10,7,226.15511658837448,0.0,0.0
158,50,10,8,226.15511658837448,0.0,0.0
159,50,10,9,226.15511658837448,0.0,0.0
160,50,10,10,226.15511658837448,0.0,0.0
161,50,10,11,226.15511658837448,0.0,0.0
162,50,10,12,226.15511658837448,0.0,0.0
163,50,10,13,226.15511658837448,0.0,0.0
164,50,10,14,226.15511658837448,0.0,0.0
