,Rmax,RR,NL,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
165,19,9,0,187.99340525281718,187.99340525281718,187.88685886195435
166,19,9,1,187.99340525281718,150.79993849605202,163.90921434596905
167,19,9,2,187.99340525281718,124.49905127568242,128.22483897719172
168,19,9,3,187.99340525281718,105.83696087000112,105.39008593693285
169,19,9,4,187.99340525281718,83.99111603633017,116.19712139639228
170,19,9,5,187.99340525281718,60.83804424361621,102.29023523490646
171,19,9,6,187.99340525281718,41.133769413701536,58.141339218834766
172,19,9,7,187.99340525281718,16.814439822921656,36.24792616796299
173,19,9,8,187.99340525281718,0.0,24.86445485927773
174,19,9,9,187.99340525281718,0.0,16.929115046842107
175,19,9,10,187.99340525281718,0.0,9.463525980167525
176,19,9,11,187.99340525281718,0.0,9.659084792611154
177,19,9,12,187.99340525281718,0.0,2.1845496282340804
178,19,9,13,187.99340525281718,0.0,1.16429751870048
179,19,9,14,187.99340525281718,0.0,0.0
180,19,8,0,188.90314858696104,188.90314858696104,188.58308324810582
181,19,8,1,188.90314858696104,151.7390900158955,164.6665187758237
182,19,8,2,188.90314858696104,126.48520315043626,130.46493457134574
183,19,8,3,188.90314858696104,107.49920287635479,103.7195197566455
184,19,8,4,188.90314858696104,85.26962335054249,115.89993617710502
185,19,8,5,188.90314858696104,62.06582118062511,98.8269062411676
186,19,8,6,188.90314858696104,43.03779751275373,49.690745638837264
187,19,8,7,188.90314858696104,19.07133563772664,35.60952081604657
188,19,8,8,188.90314858696104,0.0,21.357754413003377
189,19,8,9,188.90314858696104,0.0,15.242304483759504
190,19,8,10,188.90314858696104,0.0,10.365944504485057
191,19,8,11,188.90314858696104,0.0,5.207395284932332
192,19,8,12,188.90314858696104,0.0,3.516302483858084
193,19,8,13,188.90314858696104,0.0,2.2997732112933775
194,19,8,14,188.90314858696104,0.0,1.16429751870048
195,19,7,0,189.32790977680256,189.32790977680256,188.62795592503414
196,19,7,1,189.32790977680256,152.11877527190802,163.41120451567764
197,19,7,2,189.32790977680256,128.35222116852393,131.83746619686747
198,19,7,3,189.32790977680256,108.94176124150914,105.44996260923652
199,19,7,4,189.32790977680256,86.21116996042164,116.21517911246569
200,19,7,5,189.32790977680256,63.879799935557045,90.053853836712
201,19,7,6,189.32790977680256,45.55067747746268,51.84568465925096
202,19,7,7,189.32790977680256,18.44767172770993,39.0659619214026
203,19,7,8,189.32790977680256,0.0,19.53188808998072
204,19,7,9,189.32790977680256,0.0,12.546357227875212
205,19,7,10,189.32790977680256,0.0,10.301846521455708
206,19,7,11,189.32790977680256,0.0,9.425149549154973
207,19,7,12,189.32790977680256,0.0,9.724673428160088
208,19,7,13,189.32790977680256,0.0,8.007586467036518
209,19,7,14,189.32790977680256,0.0,5.584456109991912
210,19,6,0,190.37256166313747,190.37256166313747,190.3725616633523
211,19,6,1,190.37256166313747,153.4611567666027,166.85341322200168
212,19,6,2,190.37256166313747,129.81844495938364,132.64687766106508
213,19,6,3,190.37256166313747,110.07091891495372,109.36028511892525
214,19,6,4,190.37256166313747,90.51515655660614,116.7168199547595
215,19,6,5,190.37256166313747,67.32991283684127,87.3877071977503
216,19,6,6,190.37256166313747,44.16825388268638,59.19338633404178
217,19,6,7,190.37256166313747,19.83268010837226,41.37892085081459
218,19,6,8,190.37256166313747,0.0,26.38643919795671
219,19,6,9,190.37256166313747,0.0,20.42894166666469
220,19,6,10,190.37256166313747,0.0,19.227077108266123
221,19,6,11,190.37256166313747,0.0,16.12316264415051
222,19,6,12,190.37256166313747,0.0,14.95171227443494
223,19,6,13,190.37256166313747,0.0,12.034241866346655
224,19,6,14,190.37256166313747,0.0,10.746692552088994
225,19,5,0,196.02464596994358,196.02464596994358,196.11677863302054
226,19,5,1,196.02464596994358,159.0459191145975,174.65593988372126
227,19,5,2,196.02464596994358,131.43439882591662,136.01082123018412
228,19,5,3,196.02464596994358,113.77910488706758,119.90397592294991
229,19,5,4,196.02464596994358,94.6919458988268,107.50324354948474
230,19,5,5,196.02464596994358,71.51130317437753,76.79467381533811
231,19,5,6,196.02464596994358,47.47957307870062,61.82773126624435
232,19,5,7,196.02464596994358,25.873022298530017,45.48186757620455
233,19,5,8,196.02464596994358,0.0,34.70216710914437
234,19,5,9,196.02464596994358,0.0,31.32014237559475
235,19,5,10,196.02464596994358,0.0,20.03845131499517
236,19,5,11,196.02464596994358,0.0,22.546665964094657
237,19,5,12,196.02464596994358,0.0,18.168807960212348
238,19,5,13,196.02464596994358,0.0,14.797324607478636
239,19,5,14,196.02464596994358,0.0,10.405361261274926
240,19,4,0,204.25685916727718,204.25685916727718,204.25685916039043
241,19,4,1,204.25685916727718,167.34545426985088,182.67888679002286
242,19,4,2,204.25685916727718,135.8196033357642,151.21007229592547
243,19,4,3,204.25685916727718,117.14739901526025,145.8628592410353
244,19,4,4,204.25685916727718,100.06729563996984,116.16130183851746
245,19,4,5,204.25685916727718,79.47583066349101,81.79026389640576
246,19,4,6,204.25685916727718,55.70108497461251,48.919104851308326
247,19,4,7,204.25685916727718,32.081771816328754,54.86739839100288
248,19,4,8,204.25685916727718,5.872156464522853,50.082496664823104
249,19,4,9,204.25685916727718,0.0,43.06341030307991
250,19,4,10,204.25685916727718,0.0,37.696497856608765
251,19,4,11,204.25685916727718,0.0,31.272411527422307
252,19,4,12,204.25685916727718,0.0,29.947639017227182
253,19,4,13,204.25685916727718,0.0,26.889369454068145
254,19,4,14,204.25685916727718,0.0,22.176571777154187
255,19,3,0,217.080437749899,217.080437749899,217.11139300718787
256,19,3,1,217.080437749899,181.2297517642612,198.0232769569129
257,19,3,2,217.080437749899,150.26351959913006,186.00554223964917
258,19,3,3,217.080437749899,126.09566796582261,147.45269794030503
259,19,3,4,217.080437749899,109.43563124198656,143.11594513931672
260,19,3,5,217.080437749899,90.10705781041281,85.56149555390056
261,19,3,6,217.080437749899,68.00747929821256,76.64023521230195
262,19,3,7,217.080437749899,43.077831096509215,77.14087900655575
263,19,3,8,217.080437749899,15.998722666466136,72.14233895733108
264,19,3,9,217.080437749899,0.0,69.41486982711191
265,19,3,10,217.080437749899,0.0,51.24140580499006
266,19,3,11,217.080437749899,0.0,55.947210070901534
267,19,3,12,217.080437749899,0.0,49.527193717304336
268,19,3,13,217.080437749899,0.0,49.76671106896395
269,19,3,14,217.080437749899,0.0,46.52972765381426
270,19,2,0,236.07923950660833,236.07923950660833,235.6224961910207
271,19,2,1,236.07923950660833,209.6199501223991,227.00083213224167
272,19,2,2,236.07923950660833,187.59745807837788,215.42678164702343
273,19,2,3,236.07923950660833,160.95465974863552,162.88148688369125
274,19,2,4,236.07923950660833,136.38236892483232,158.70340454562373
275,19,2,5,236.07923950660833,115.45653199024557,109.64057881746854
276,19,2,6,236.07923950660833,92.57931749749518,126.12913782339922
277,19,2,7,236.07923950660833,69.30568768217691,109.46490756199104
278,19,2,8,236.07923950660833,44.159248940307286,93.11104126873519
279,19,2,9,236.07923950660833,19.236471821609975,89.44863279854584
280,19,2,10,236.07923950660833,0.0,90.73272904425272
281,19,2,11,236.07923950660833,0.0,92.50896349165993
282,19,2,12,236.07923950660833,0.0,71.14651012923136
