,FRAC1,EXQC1,NDPC1,NMSC1
1989-10-02,0.44,0.258,0.677,0.2
1989-10-03,0.559,0.395,0.225,0.289
1989-10-04,0.364,0.173,0.399,0.231
1989-10-05,0.299,0.14,-0.098,0.338
1989-10-06,0.316,0.103,0.105,0.242
1989-10-07,0.253,0.096,0.433,0.272
1989-10-08,0.195,0.099,0.375,0.329
1989-10-09,0.164,0.074,0.143,0.377
1989-10-10,0.209,0.091,-0.315,0.284
1989-10-11,0.283,0.0,0.779,0.199
1989-10-12,0.143,0.057,0.174,0.314
1989-10-13,0.242,0.05,0.274,0.282
1989-10-14,0.148,0.049,-0.167,0.261
1989-10-15,0.171,0.04,0.3,0.236
1989-10-16,0.283,0.043,-0.28,0.348
1989-10-17,0.184,0.025,0.161,0.452
1989-10-18,0.194,0.052,0.149,0.318
1989-10-19,0.195,0.033,0.218,0.65
1989-10-20,0.11,0.023,0.261,0.65
1989-10-21,0.332,0.022,0.493,0.25
1989-10-22,0.414,0.04,0.484,0.391
1989-10-23,0.619,0.366,2.228,1.233
1989-10-24,1.147,0.92,6.911,2.014
1989-10-25,1.256,0.908,3.294,1.319
1989-10-26,0.797,0.533,1.922,0.781
1989-10-27,0.542,0.451,1.248,0.73
1989-10-28,0.44,0.347,0.935,0.599
1989-10-29,0.447,0.307,1.27,0.822
1989-10-30,0.418,0.258,0.767,0.49
1989-10-31,0.18,0.227,0.614,1.359
1989-11-01,0.492,0.215,0.51,0.608
1989-11-02,0.442,0.204,0.356,0.748
1989-11-03,0.326,0.18,0.81,0.605
1989-11-04,0.372,0.173,0.406,0.488
1989-11-05,0.355,0.168,0.785,0.31
1989-11-06,0.41,0.186,0.479,0.825
1989-11-07,0.29,0.179,0.022,0.614
1989-11-08,0.487,0.17,0.474,0.475
1989-11-09,0.277,0.174,0.565,0.385
1989-11-10,0.299,0.094,0.24,0.361
1989-11-11,0.4,0.136,0.354,0.27
1989-11-12,0.317,0.133,-0.026,0.207
1989-11-13,0.496,0.153,0.495,0.342
1989-11-14,0.267,0.123,0.589,0.195
1989-11-15,0.33,0.108,0.226,0.187
1989-11-16,0.221,0.129,0.109,0.306
1989-11-17,0.255,0.128,0.041,0.593
1989-11-18,0.246,0.115,0.351,0.156
1989-11-19,0.234,0.109,0.367,0.181
1989-11-20,0.274,0.087,-0.096,0.362
1989-11-21,0.141,0.097,0.252,0.0
1989-11-22,0.159,0.053,0.096,0.427
1989-11-23,0.321,0.122,0.25,0.166
1989-11-24,0.224,0.113,0.118,0.242
1989-11-25,0.737,0.203,1.422,0.57
1989-11-26,1.186,0.506,1.42,0.679
1989-11-27,0.394,0.287,0.517,0.592
1989-11-28,0.381,0.231,0.397,0.45
1989-11-29,0.463,0.24,0.831,0.274
1989-11-30,0.364,0.241,0.439,0.322
1989-12-01,0.407,0.219,1.017,0.435
1989-12-02,0.335,0.217,0.506,0.755
1989-12-03,0.36,0.202,0.943,0.0
1989-12-04,0.426,0.192,-0.413,0.32
1989-12-05,0.223,0.192,0.819,0.407
1989-12-06,0.253,0.224,0.904,0.356
1989-12-07,0.246,0.2,0.642,0.162
1989-12-08,0.345,0.172,0.577,0.563
1989-12-09,0.424,0.178,0.667,0.266
1989-12-10,0.239,0.172,0.094,0.216
1989-12-11,0.165,0.163,0.39,0.336
1989-12-12,0.355,0.143,0.428,0.022
1989-12-13,0.287,0.136,0.645,0.561
1989-12-14,0.278,0.161,0.267,0.185
1989-12-15,0.274,0.134,0.387,0.33
1989-12-16,0.26,0.133,0.677,0.18
1989-12-17,0.185,0.123,0.369,0.212
1989-12-18,0.193,0.119,-0.227,0.236
1989-12-19,0.285,0.103,0.044,0.179
1989-12-20,0.045,0.119,0.473,0.34
1989-12-21,0.092,0.108,0.476,0.225
1989-12-22,0.936,0.094,-0.365,0.21
1989-12-23,0.157,0.1,0.058,0.185
1989-12-24,0.201,0.099,0.375,0.283
1989-12-25,0.283,0.104,-0.038,0.307
1989-12-26,0.147,0.096,-0.168,0.244
1989-12-27,0.094,0.109,0.498,0.326
1989-12-28,0.309,0.104,-0.685,0.123
1989-12-29,0.145,0.079,1.274,0.819
1989-12-30,0.158,0.085,0.045,0.241
1989-12-31,0.281,0.081,-0.325,0.286
1990-01-01,0.22,0.145,0.327,0.226
1990-01-02,0.199,0.088,0.572,0.383
1990-01-03,0.227,0.095,0.146,0.143
1990-01-04,0.246,0.11,0.222,0.127
1990-01-05,0.16,0.07,-0.308,0.351
1990-01-06,0.269,0.099,0.59,0.261
1990-01-07,0.073,0.111,0.187,0.385
1990-01-08,0.163,0.099,0.373,0.491
1990-01-09,0.237,0.072,0.522,0.363
1990-01-10,0.142,0.098,0.225,0.489
1990-01-11,0.221,0.108,0.737,0.254
1990-01-12,0.529,0.129,0.802,0.287
1990-01-13,1.326,0.51,1.405,0.539
1990-01-14,1.174,0.833,1.015,0.694
1990-01-15,0.582,0.462,1.424,0.617
1990-01-16,0.697,0.535,1.067,0.444
1990-01-17,0.519,0.408,1.011,0.33
1990-01-18,0.454,0.318,0.457,0.315
1990-01-19,0.417,0.308,0.74,0.348
1990-01-20,0.363,0.256,0.543,0.335
1990-01-21,0.415,0.235,1.074,0.335
1990-01-22,0.406,0.228,0.765,0.405
1990-01-23,0.333,0.248,0.159,0.3
1990-01-24,0.402,0.213,0.219,0.266
1990-01-25,0.413,0.223,0.804,0.462
1990-01-26,0.339,0.201,0.151,0.315
1990-01-27,0.428,0.214,1.076,0.14
1990-01-28,0.333,0.212,1.027,0.358
1990-01-29,0.405,0.211,0.035,0.516
1990-01-30,0.567,0.223,-0.699,0.409
1990-01-31,0.301,0.245,1.261,0.399
1990-02-01,0.583,0.219,2.091,0.543
1990-02-02,0.334,0.253,0.761,0.392
1990-02-03,0.31,0.332,0.958,0.539
1990-02-04,0.758,0.426,1.01,0.548
1990-02-05,0.406,0.345,0.642,0.485
1990-02-06,0.62,0.279,0.879,0.569
1990-02-07,0.655,0.312,1.019,0.317
1990-02-08,0.438,0.285,0.345,0.439
1990-02-09,0.504,0.248,0.244,0.485
1990-02-10,0.208,0.28,0.949,0.293
1990-02-11,0.533,0.307,1.394,0.425
1990-02-12,0.552,0.258,0.561,0.654
1990-02-13,0.596,0.294,0.747,0.31
1990-02-14,0.399,0.278,0.639,0.315
1990-02-15,0.409,0.214,0.455,0.304
1990-02-16,0.669,0.471,0.777,0.938
1990-02-17,0.852,0.483,1.565,0.558
1990-02-18,0.768,0.443,1.594,0.591
1990-02-19,0.439,0.362,0.725,0.665
1990-02-20,0.738,0.346,0.554,0.505
1990-02-21,0.263,0.349,0.814,0.556
1990-02-22,0.618,0.388,0.755,0.54
1990-02-23,0.851,0.48,0.865,0.507
1990-02-24,0.768,0.547,1.191,0.516
1990-02-25,0.811,0.549,1.158,0.589
1990-02-26,0.934,0.492,1.682,0.699
1990-02-27,0.963,0.533,1.814,0.513
1990-02-28,0.943,0.508,1.486,0.571
1990-03-01,0.712,0.56,2.255,0.662
1990-03-02,0.903,0.606,1.054,0.89
1990-03-03,1.041,0.626,2.394,1.117
1990-03-04,1.285,0.706,2.997,1.032
1990-03-05,1.078,0.681,1.642,0.978
1990-03-06,1.044,0.656,2.134,1.089
1990-03-07,0.873,0.596,1.387,0.759
1990-03-08,1.237,0.561,1.433,0.876
1990-03-09,0.907,0.582,1.579,0.948
1990-03-10,1.284,0.693,1.836,0.642
1990-03-11,1.397,0.713,1.844,1.019
1990-03-12,0.526,0.638,1.853,1.074
1990-03-13,0.803,0.575,1.977,0.886
1990-03-14,0.754,0.61,1.208,0.817
1990-03-15,0.823,0.627,1.232,0.82
1990-03-16,0.894,0.669,1.826,0.726
1990-03-17,0.942,0.686,1.489,0.918
1990-03-18,1.19,0.762,2.251,0.998
1990-03-19,1.691,0.89,1.957,1.026
1990-03-20,1.539,0.943,2.554,1.251
1990-03-21,1.847,1.109,2.844,1.343
1990-03-22,2.054,1.195,3.02,1.298
1990-03-23,2.002,1.254,2.648,1.332
1990-03-24,2.207,1.35,3.775,1.438
1990-03-25,2.191,1.494,2.404,1.394
1990-03-26,2.342,1.504,3.383,1.408
1990-03-27,2.18,1.465,2.598,1.451
1990-03-28,2.015,1.366,3.061,1.236
1990-03-29,1.799,1.083,2.355,1.165
1990-03-30,1.642,1.055,2.12,1.128
1990-03-31,1.701,1.017,1.983,1.173
1990-04-01,1.867,1.159,2.074,1.128
1990-04-02,2.05,1.338,3.42,1.514
1990-04-03,2.284,1.327,3.102,1.481
1990-04-04,1.23,1.55,3.201,1.339
1990-04-05,3.232,1.521,3.26,1.387
1990-04-06,2.516,1.467,2.992,1.475
1990-04-07,2.283,1.504,3.508,1.312
1990-04-08,2.702,1.474,2.77,1.366
1990-04-09,2.038,1.307,2.707,1.344
1990-04-10,2.449,1.448,2.996,1.345
1990-04-11,2.754,1.736,3.204,1.561
1990-04-12,2.964,1.886,3.811,1.729
1990-04-13,3.325,2.173,3.839,1.763
1990-04-14,4.108,2.484,4.769,1.878
1990-04-15,4.015,2.478,4.599,1.762
1990-04-16,4.191,2.587,5.171,1.83
1990-04-17,2.853,1.846,4.691,1.662
1990-04-18,2.306,1.473,3.035,1.423
1990-04-19,2.614,1.533,2.94,1.376
1990-04-20,2.982,1.782,3.964,1.477
1990-04-21,2.53,1.716,3.953,1.463
1990-04-22,2.424,1.621,3.111,1.343
1990-04-23,3.36,2.227,4.348,2.262
1990-04-24,2.916,2.115,2.93,1.942
1990-04-25,2.715,1.896,5.112,1.582
1990-04-26,3.257,2.096,3.594,1.505
1990-04-27,4.028,2.51,4.758,1.09
1990-04-28,4.182,2.707,5.176,1.497
1990-04-29,3.936,2.498,4.629,1.49
1990-04-30,2.948,1.829,3.777,1.403
1990-05-01,2.292,1.486,2.999,1.232
1990-05-02,2.531,1.466,3.076,1.085
1990-05-03,2.649,1.637,3.377,1.202
1990-05-04,2.774,1.86,3.014,1.393
1990-05-05,3.64,2.035,3.928,1.299
1990-05-06,4.883,2.234,4.86,1.356
1990-05-07,4.181,2.102,4.529,1.312
1990-05-08,3.416,1.863,4.03,1.116
1990-05-09,3.823,1.714,3.554,0.967
1990-05-10,3.492,1.661,3.551,1.003
1990-05-11,2.651,1.325,3.59,1.0
1990-05-12,2.281,1.201,2.448,0.811
1990-05-13,2.63,1.02,2.433,0.871
1990-05-14,2.769,1.313,2.639,0.874
1990-05-15,2.069,1.115,2.717,0.799
1990-05-16,2.387,1.02,2.173,0.834
1990-05-17,2.352,1.128,2.828,0.664
1990-05-18,2.115,0.81,1.751,0.559
1990-05-19,2.062,0.664,1.632,0.678
1990-05-20,1.803,1.043,1.939,0.647
1990-05-21,1.899,0.696,1.907,0.699
1990-05-22,2.176,0.753,1.241,0.641
1990-05-23,2.467,0.891,1.99,0.96
1990-05-24,2.33,1.022,2.472,0.904
1990-05-25,2.015,1.105,2.384,0.737
1990-05-26,1.803,0.935,2.158,0.775
1990-05-27,2.44,1.176,3.202,0.841
1990-05-28,3.938,1.931,5.002,1.419
1990-05-29,2.613,1.445,3.697,1.454
1990-05-30,2.861,1.334,2.551,1.048
1990-05-31,2.017,1.169,2.894,1.69
1990-06-01,1.824,1.009,3.233,1.641
1990-06-02,1.968,0.882,1.927,1.393
1990-06-03,2.495,0.94,3.135,1.191
1990-06-04,2.684,0.955,2.355,1.165
1990-06-05,3.244,1.109,3.225,1.208
1990-06-06,3.378,1.174,3.133,1.079
1990-06-07,3.132,1.014,2.297,1.228
1990-06-08,3.247,1.073,3.149,0.872
1990-06-09,3.359,1.096,3.196,1.028
1990-06-10,3.335,1.105,2.78,0.901
1990-06-11,2.407,0.923,2.366,1.097
1990-06-12,2.159,0.734,2.246,0.931
1990-06-13,2.015,0.65,1.364,0.731
1990-06-14,1.724,0.588,1.416,0.834
1990-06-15,2.091,0.612,1.195,0.848
1990-06-16,1.95,0.792,1.193,0.681
1990-06-17,1.803,0.684,1.657,0.645
1990-06-18,1.523,0.518,0.544,0.834
1990-06-19,1.469,0.568,1.462,0.725
1990-06-20,1.661,0.511,1.137,0.758
1990-06-21,1.808,0.518,1.176,0.838
1990-06-22,1.724,0.516,0.509,0.67
1990-06-23,1.967,0.554,1.823,0.63
1990-06-24,1.561,0.457,0.952,0.601
1990-06-25,1.318,0.406,3.845,0.345
1990-06-26,1.36,0.359,2.311,0.496
1990-06-27,1.057,0.378,-2.512,0.409
1990-06-28,1.254,0.313,-0.857,0.514
1990-06-29,1.074,0.284,0.592,0.574
1990-06-30,0.984,0.274,0.371,0.408
1990-07-01,1.066,0.224,0.281,0.258
1990-07-02,1.023,0.226,0.252,0.281
1990-07-03,1.224,0.271,0.215,0.312
1990-07-04,0.745,0.281,1.141,0.229
1990-07-05,0.793,0.252,0.408,0.242
1990-07-06,0.933,0.184,0.455,0.422
1990-07-07,0.441,0.19,0.803,0.352
1990-07-08,0.896,0.177,0.531,0.213
1990-07-09,0.614,0.162,0.676,0.307
1990-07-10,0.388,0.139,0.113,0.262
1990-07-11,0.649,0.123,-0.119,0.42
1990-07-12,0.799,0.097,0.631,0.402
1990-07-13,1.764,0.253,0.355,0.454
1990-07-14,2.341,1.068,0.486,0.388
1990-07-15,1.856,0.834,0.195,0.023
1990-07-16,1.703,0.553,0.66,0.315
1990-07-17,1.695,0.418,0.504,0.357
1990-07-18,1.281,0.333,0.332,0.379
1990-07-19,1.159,0.405,0.623,0.412
1990-07-20,0.913,0.343,0.232,0.421
1990-07-21,0.655,0.29,0.946,0.125
1990-07-22,0.8,0.206,-0.009,0.096
1990-07-23,0.606,0.217,-0.002,0.122
1990-07-24,0.484,0.148,-0.368,0.127
1990-07-25,0.477,0.094,0.107,0.116
1990-07-26,0.314,0.08,0.378,0.331
1990-07-27,0.329,0.105,-0.239,0.27
1990-07-28,0.522,0.098,0.06,0.139
1990-07-29,0.371,0.097,0.511,0.055
1990-07-30,0.19,0.0,-0.175,0.301
1990-07-31,0.194,0.001,0.004,0.279
1990-08-01,0.358,0.001,0.095,0.261
1990-08-02,0.341,0.0,0.694,0.278
1990-08-03,0.027,0.072,-0.255,0.185
1990-08-04,0.691,0.045,0.143,0.246
1990-08-05,0.299,0.057,0.394,0.152
1990-08-06,0.455,0.047,0.167,0.513
1990-08-07,0.137,0.013,-0.348,0.497
1990-08-08,0.066,0.067,0.064,0.66
1990-08-09,0.321,0.08,0.221,0.585
1990-08-10,0.309,0.043,0.186,0.594
1990-08-11,0.327,0.007,0.012,0.521
1990-08-12,0.304,0.0,-0.198,0.307
1990-08-13,0.189,0.038,-0.27,0.402
1990-08-14,0.066,0.046,0.55,0.226
1990-08-15,0.225,0.031,-0.143,0.336
1990-08-16,0.292,0.018,-0.41,0.35
1990-08-17,0.423,0.002,0.76,0.313
1990-08-18,0.305,0.037,-0.765,0.318
1990-08-19,0.103,0.0,-0.032,0.072
1990-08-20,0.473,0.0,0.239,0.431
1990-08-21,0.138,0.0,-0.259,0.454
1990-08-22,0.255,0.005,0.663,0.0
1990-08-23,0.133,0.034,-0.093,0.128
1990-08-24,0.168,0.021,0.374,0.42
1990-08-25,0.105,0.0,-0.536,0.126
1990-08-26,0.106,0.0,-0.287,0.122
1990-08-27,0.122,0.0,0.211,0.508
1990-08-28,0.138,0.0,-0.266,0.767
1990-08-29,0.109,0.0,0.219,0.233
1990-08-30,0.069,0.051,0.143,0.365
1990-08-31,0.168,0.0,-0.039,0.428
1990-09-01,0.159,0.026,-0.02,0.139
1990-09-02,0.127,0.0,0.053,0.174
1990-09-03,0.155,0.01,0.187,0.253
1990-09-04,0.063,0.005,-0.583,0.489
1990-09-05,0.043,0.0,-0.136,0.4
1990-09-06,0.375,0.0,0.349,0.346
1990-09-07,0.108,0.002,-0.279,0.291
1990-09-08,0.053,0.0,0.024,0.259
1990-09-09,0.174,0.0,0.333,0.192
1990-09-10,0.135,0.0,-0.066,0.528
1990-09-11,0.126,0.0,0.183,0.497
1990-09-12,0.095,0.003,-0.468,0.51
1990-09-13,0.069,0.0,0.253,0.331
1990-09-14,0.154,0.0,-0.179,0.489
1990-09-15,0.089,0.0,0.075,0.191
1990-09-16,0.116,0.0,-0.113,0.182
1990-09-17,0.101,0.0,0.181,0.478
1990-09-18,0.18,0.0,0.055,0.504
1990-09-19,0.106,0.0,-0.243,0.514
1990-09-20,0.077,0.0,0.097,0.621
1990-09-21,0.125,0.0,0.026,0.368
1990-09-22,0.141,0.0,0.179,0.238
1990-09-23,0.075,0.001,-0.146,0.158
1990-09-24,0.389,0.0,-0.151,0.511
1990-09-25,0.256,0.013,0.179,0.499
1990-09-26,0.125,0.0,0.049,0.51
1990-09-27,0.028,0.0,-0.007,0.407
1990-09-28,0.208,0.0,0.609,0.485
1990-09-29,0.332,0.027,-0.659,0.371
1990-09-30,0.087,0.011,0.83,0.342
1990-10-01,0.46,0.011,-0.39,0.289
1990-10-02,0.06,0.0,0.186,0.358
1990-10-03,0.14,0.003,0.143,0.517
1990-10-04,0.165,0.0,0.318,0.207
1990-10-05,0.036,0.008,-0.048,0.437
1990-10-06,0.063,0.0,-0.154,0.265
1990-10-07,0.033,0.005,0.334,0.239
1990-10-08,0.101,0.0,-0.312,0.366
1990-10-09,0.109,0.0,-0.111,0.36
1990-10-10,0.073,0.0,0.509,0.371
1990-10-11,0.083,0.0,-0.098,0.35
1990-10-12,0.297,0.0,0.225,0.451
1990-10-13,0.046,0.0,0.05,0.37
1990-10-14,0.077,0.0,0.073,0.202
1990-10-15,0.09,0.0,-0.211,0.275
1990-10-16,0.074,0.0,-0.357,0.275
1990-10-17,0.07,0.01,0.126,0.325
1990-10-18,0.061,0.001,0.185,0.134
1990-10-19,0.246,0.0,-0.04,0.438
1990-10-20,0.132,0.0,0.268,0.281
1990-10-21,0.136,0.002,0.079,0.266
1990-10-22,0.226,0.009,-0.116,0.235
1990-10-23,0.119,0.013,0.042,0.361
1990-10-24,0.011,0.0,-0.21,0.367
1990-10-25,0.52,0.0,0.211,0.295
1990-10-26,0.073,0.009,0.06,0.392
1990-10-27,0.134,0.0,0.368,0.264
1990-10-28,0.039,0.0,-0.037,0.174
1990-10-29,0.132,0.0,-0.188,0.322
1990-10-30,0.017,0.0,0.022,0.377
1990-10-31,0.063,0.041,-0.428,0.337
1990-11-01,0.075,0.042,0.321,0.289
1990-11-02,0.057,0.203,0.192,0.2
1990-11-03,0.049,0.0,-0.21,0.174
1990-11-04,0.014,0.033,0.178,0.12
1990-11-05,0.061,0.022,0.075,0.125
1990-11-06,0.048,0.203,-0.02,0.022
1990-11-07,0.085,0.247,-0.324,0.149
1990-11-08,0.054,0.0,0.132,0.235
1990-11-09,0.098,0.0,0.132,0.181
1990-11-10,0.104,0.034,-0.274,0.071
1990-11-11,0.051,0.147,0.181,0.067
1990-11-12,0.063,0.117,0.031,0.13
1990-11-13,0.094,0.0,0.078,0.049
1990-11-14,0.088,0.003,-0.268,0.196
1990-11-15,0.1,0.0,0.135,0.157
1990-11-16,0.162,0.014,-0.414,0.293
1990-11-17,0.156,0.018,0.133,0.059
1990-11-18,0.055,0.0,0.086,0.101
1990-11-19,0.089,0.0,0.141,0.057
1990-11-20,0.113,0.0,0.094,0.232
1990-11-21,0.085,0.0,0.761,0.252
1990-11-22,0.088,0.028,0.012,0.084
1990-11-23,0.087,0.0,0.045,0.115
1990-11-24,0.189,0.0,0.546,0.118
1990-11-25,0.247,0.0,-0.467,0.205
1990-11-26,0.062,0.063,0.25,0.261
1990-11-27,0.082,0.043,0.962,0.132
1990-11-28,0.085,0.06,0.015,0.164
1990-11-29,0.129,0.047,0.858,0.397
1990-11-30,0.18,0.048,1.042,0.174
1990-12-01,0.069,0.027,-0.209,0.183
1990-12-02,0.074,0.038,-0.149,0.086
1990-12-03,0.083,0.042,0.293,0.124
1990-12-04,0.127,0.039,-0.276,0.158
1990-12-05,0.097,0.054,0.252,0.107
1990-12-06,0.165,0.024,0.33,0.314
1990-12-07,0.116,0.0,-0.355,0.104
1990-12-08,0.11,0.073,-0.145,0.186
1990-12-09,0.027,0.023,0.25,0.115
1990-12-10,0.141,0.007,-0.258,0.277
1990-12-11,0.144,0.033,0.08,0.336
1990-12-12,0.146,0.009,0.029,0.254
1990-12-13,0.121,0.0,0.419,0.251
1990-12-14,0.113,0.0,-0.287,0.231
1990-12-15,0.191,0.0,0.313,0.313
1990-12-16,0.117,0.0,0.311,0.098
1990-12-17,0.136,0.0,0.417,0.252
1990-12-18,0.276,0.097,-0.41,0.285
1990-12-19,0.456,0.163,0.396,0.232
1990-12-20,0.2,0.0,0.117,0.498
1990-12-21,0.247,0.167,0.234,0.381
1990-12-22,0.266,0.0,0.017,0.149
1990-12-23,0.088,0.011,-0.18,0.138
1990-12-24,0.122,0.04,0.724,0.35
1990-12-25,0.107,0.0,-0.089,0.141
1990-12-26,0.135,0.0,-0.051,0.279
1990-12-27,0.159,0.011,-0.014,0.248
1990-12-28,0.145,0.006,-0.141,0.269
1990-12-29,0.042,0.007,0.188,0.139
1990-12-30,0.026,0.014,0.267,0.079
1990-12-31,0.169,0.005,0.035,0.223
1991-01-01,0.163,0.016,-0.175,0.138
1991-01-02,0.037,0.01,-0.055,0.256
1991-01-03,0.26,0.003,0.267,0.274
1991-01-04,0.472,0.049,0.449,0.256
1991-01-05,0.084,0.032,-0.39,0.127
1991-01-06,0.209,0.085,0.203,0.071
1991-01-07,0.159,0.039,0.069,0.202
1991-01-08,0.369,0.057,0.42,0.21
1991-01-09,0.21,0.0,0.287,0.207
1991-01-10,0.137,0.039,-0.07,0.105
1991-01-11,0.096,0.02,0.345,0.208
1991-01-12,0.108,0.09,0.104,0.223
1991-01-13,0.129,0.147,-0.2,0.104
1991-01-14,0.173,0.134,0.368,0.231
1991-01-15,0.156,0.137,-0.365,0.102
1991-01-16,0.175,0.025,0.507,0.126
1991-01-17,0.339,0.0,0.161,0.198
1991-01-18,0.107,0.027,-0.43,0.233
1991-01-19,0.141,0.026,0.631,0.163
1991-01-20,0.13,0.003,-0.007,0.248
1991-01-21,0.109,0.035,0.452,0.141
1991-01-22,0.092,0.049,-0.071,0.174
1991-01-23,0.081,0.025,0.046,0.387
1991-01-24,0.129,0.026,0.052,0.364
1991-01-25,0.216,0.048,0.293,0.221
1991-01-26,0.032,0.035,-0.506,0.189
1991-01-27,0.165,0.025,0.368,0.138
1991-01-28,0.128,0.022,-0.196,0.223
1991-01-29,0.109,0.039,0.443,0.062
1991-01-30,0.147,0.044,0.002,0.116
1991-01-31,0.118,0.0,-0.001,0.15
1991-02-01,0.165,0.0,-0.096,0.053
1991-02-02,0.239,0.03,-0.249,0.276
1991-02-03,0.264,0.054,0.417,0.356
1991-02-04,0.102,0.157,0.248,0.396
1991-02-05,0.317,0.113,0.258,0.583
1991-02-06,0.173,0.055,0.424,0.224
1991-02-07,0.12,0.071,0.095,0.271
1991-02-08,0.197,0.056,0.063,0.176
1991-02-09,0.083,0.02,0.128,0.18
1991-02-10,0.024,0.037,-0.098,0.195
1991-02-11,0.095,0.044,0.266,0.168
1991-02-12,0.265,0.042,0.224,0.154
1991-02-13,0.217,0.025,-0.134,0.2
1991-02-14,0.16,0.032,0.583,0.206
1991-02-15,0.154,0.037,0.222,0.19
1991-02-16,0.222,0.023,0.22,0.132
1991-02-17,0.23,0.039,-0.139,0.211
1991-02-18,0.169,0.043,0.209,0.187
1991-02-19,0.175,0.056,0.207,0.348
1991-02-20,0.164,0.022,0.14,0.276
1991-02-21,0.202,0.059,0.125,0.3
1991-02-22,0.155,0.041,0.193,0.191
1991-02-23,0.283,0.041,-0.158,0.342
1991-02-24,0.171,0.038,0.087,0.191
1991-02-25,0.154,0.024,0.261,0.403
1991-02-26,0.121,0.039,0.162,0.195
1991-02-27,0.375,0.024,0.327,0.269
1991-02-28,0.705,0.179,0.478,0.473
1991-03-01,1.802,0.515,1.324,0.753
1991-03-02,0.506,0.484,0.965,0.528
1991-03-03,1.702,1.009,2.775,1.209
1991-03-04,8.145,4.271,10.994,3.816
1991-03-05,6.973,2.882,10.259,3.346
1991-03-06,1.717,1.196,3.691,0.848
1991-03-07,1.212,0.863,2.176,0.643
1991-03-08,1.092,0.655,1.923,0.657
1991-03-09,1.057,0.588,1.326,0.602
1991-03-10,1.124,0.668,1.643,0.697
1991-03-11,0.952,0.564,1.172,0.538
1991-03-12,0.764,0.591,0.907,0.452
1991-03-13,1.328,0.995,2.688,1.012
1991-03-14,0.961,0.69,1.405,0.572
1991-03-15,0.752,0.591,1.458,0.551
1991-03-16,0.539,0.513,1.433,0.459
1991-03-17,1.278,1.575,1.26,0.82
1991-03-18,3.228,2.996,1.967,0.943
1991-03-19,3.507,2.503,3.361,0.996
1991-03-20,2.094,2.31,2.713,1.185
1991-03-21,1.301,1.359,1.788,0.704
1991-03-22,0.962,0.98,1.119,0.598
1991-03-23,1.003,0.957,1.652,0.602
1991-03-24,1.494,4.23,3.561,1.48
1991-03-25,3.182,4.598,6.043,2.376
1991-03-26,2.103,2.143,3.848,1.862
1991-03-27,2.107,1.601,2.098,1.273
1991-03-28,1.588,1.303,2.398,0.796
1991-03-29,1.53,1.281,1.782,0.797
1991-03-30,1.292,1.232,2.081,1.029
1991-03-31,1.968,1.356,3.181,1.163
1991-04-01,2.195,1.31,2.846,1.059
1991-04-02,1.79,1.14,2.094,1.056
1991-04-03,1.796,1.131,3.308,1.131
1991-04-04,2.482,1.357,3.151,1.356
1991-04-05,2.825,1.707,3.916,1.884
1991-04-06,3.273,1.802,4.817,1.646
1991-04-07,2.736,1.579,3.418,1.543
1991-04-08,1.655,1.401,3.91,1.522
1991-04-09,3.364,1.379,3.445,1.383
1991-04-10,2.824,1.519,3.44,1.395
1991-04-11,1.942,1.252,2.707,1.136
1991-04-12,1.71,1.119,2.131,1.047
1991-04-13,1.747,1.151,1.84,0.928
1991-04-14,2.036,1.227,3.262,1.059
1991-04-15,2.705,1.478,2.54,1.342
1991-04-16,1.963,1.166,2.916,1.097
1991-04-17,1.896,1.023,2.129,0.933
1991-04-18,1.906,0.919,2.392,1.08
1991-04-19,1.739,1.058,1.876,1.008
1991-04-20,1.861,1.026,2.914,0.939
1991-04-21,1.519,0.92,2.545,0.924
1991-04-22,2.053,1.011,3.051,1.252
1991-04-23,2.127,1.168,2.383,1.357
1991-04-24,2.46,1.325,3.626,1.487
1991-04-25,2.182,1.347,3.168,1.398
1991-04-26,1.805,1.048,2.606,1.276
1991-04-27,2.27,1.263,2.466,1.071
1991-04-28,2.572,1.392,3.591,1.207
1991-04-29,3.188,1.404,3.828,1.667
1991-04-30,3.638,2.247,4.432,1.76
1991-05-01,3.456,2.34,4.536,1.904
1991-05-02,2.614,1.647,4.06,1.457
1991-05-03,2.157,1.301,2.635,1.23
1991-05-04,1.947,1.226,2.879,1.104
1991-05-05,3.097,1.863,3.333,1.485
1991-05-06,4.306,2.718,5.384,2.192
1991-05-07,5.439,3.485,6.786,2.653
1991-05-08,6.359,4.142,8.683,3.119
1991-05-09,4.895,3.325,7.597,2.655
1991-05-10,3.754,2.2,4.805,1.957
1991-05-11,2.815,1.723,3.696,1.497
1991-05-12,2.521,1.502,3.423,1.097
1991-05-13,3.289,2.031,3.858,1.66
1991-05-14,3.507,1.909,3.886,1.594
1991-05-15,3.719,2.159,4.057,1.951
1991-05-16,5.246,3.138,5.878,2.352
1991-05-17,5.24,3.328,6.242,2.33
1991-05-18,3.781,2.252,4.798,1.631
1991-05-19,3.015,1.808,3.599,1.178
1991-05-20,2.239,1.608,4.106,1.383
1991-05-21,3.778,1.687,3.441,1.692
1991-05-22,3.877,2.254,5.064,1.952
1991-05-23,5.745,3.636,5.709,2.41
1991-05-24,7.368,4.557,8.513,3.28
1991-05-25,8.576,4.746,8.844,2.863
1991-05-26,7.752,4.436,9.631,3.243
1991-05-27,6.704,3.759,7.694,2.739
