,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1705.5122594834163,1460.394992540941,1522.919906870599
49,1705.5662880122163,1460.5065825998192,1523.107051939279
48,1705.6212629728625,1460.5956840010658,1523.6156276290967
47,1705.677199605817,1460.639753551516,1523.5717389659555
46,1705.7341164460229,1460.6831059254632,1523.6808004363986
45,1705.7920310667162,1460.7311067933683,1523.508530909528
44,1705.8509633556387,1460.7859275575206,1524.0023282449524
43,1705.910878071636,1460.8545789953596,1523.446398732494
42,1705.9717387757305,1460.8665826146291,1525.096978927254
41,1706.0331507098297,1460.7458880762997,1521.4794082996732
40,1706.093918716471,1460.58910539725,1524.4879194593343
39,1706.1539206188163,1460.3990534728132,1523.6813436221285
38,1706.215007331273,1460.17674315621,1524.089837050773
37,1706.2772051765787,1459.931764198115,1522.8371560086998
36,1706.3405416562011,1459.7013954845056,1523.7046442923115
35,1706.4050471726039,1459.4979606993852,1524.3336843764678
34,1706.4707547294895,1459.324236726128,1524.4154157398348
33,1706.5377012952683,1459.5975545323229,1525.3677272116029
32,1706.6059268190868,1459.9362644485236,1523.7547441873658
31,1706.6754762823543,1460.13497160904,1523.325899767025
30,1706.7464003973398,1460.2912243746077,1522.1111526593922
29,1706.81875599239,1460.4411956797883,1526.0203416555307
28,1706.8926054904437,1460.5986916449326,1528.2659612147327
27,1706.9680204898746,1460.7603717151783,1527.6908587136813
26,1707.0450803614056,1460.9250307991815,1528.1159834239413
25,1707.123880369542,1461.0831682754515,1526.8630457398233
24,1707.2045284688847,1461.2336553410753,1527.3092600429768
23,1707.2871489191461,1461.3807406520373,1526.539469068547
22,1707.3719096815157,1461.5310402060527,1525.6728414196475
21,1707.458965311406,1461.710086630876,1524.3363039384833
20,1707.548515981978,1461.9109589949535,1523.9990134387024
19,1707.6408007226619,1462.1063514823434,1522.2657943824597
18,1707.7361284563171,1462.2933918994956,1521.2069439555603
17,1707.834856834044,1462.4489908472697,1519.5240349810367
16,1707.9374090865226,1462.575486917252,1517.550768200057
15,1708.0443399742865,1462.957571067303,1515.3349156214697
14,1708.1563867790003,1463.4114994397191,1512.3432433697524
13,1708.2744714761898,1463.865416850108,1510.5551563273368
12,1709.2262752699223,1464.3082066759962,1506.945629248178
11,1711.332675907931,1464.7286229978197,1503.2966835971629
10,1713.4427122169946,1465.1434867576072,1500.098293821829
9,1715.576550739964,1465.5255174112212,1497.662747248534
8,1717.8305829286155,1465.882934067,1493.9216723089644
7,1720.1383426264806,1466.220726551719,1490.6066673647729
6,1723.3825567207853,1466.5318969741788,1485.2390714785156
5,1730.5529498760282,1467.5740671007104,1478.2531320895669
4,1745.7389473750495,1466.4540979512747,1467.27143362134
3,1737.5196745942237,1483.9494388177573,1483.9494388433357
2,1734.0497796195452,1557.3378683212832,1557.3378684511317
1,1871.5543968666157,1775.5196862623545,1775.51968629167
