,Rmax,RR,NL,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
0,40,10,0,240.82927215672095,240.82927215672095,240.3565042821187
1,40,10,1,240.82927215672095,162.96934862539257,233.74151620795476
2,40,10,2,240.82927215672095,107.42300664838541,152.11311576842343
3,40,10,3,240.82927215672095,60.192478411578975,148.14803799849284
4,40,10,4,240.82927215672095,17.133675825634327,127.35779741606366
5,40,10,5,240.82927215672095,0.0,96.18800649598838
6,40,10,6,240.82927215672095,0.0,35.64643409100192
7,40,10,7,240.82927215672095,0.0,10.082432859456318
8,40,10,8,240.82927215672095,0.0,9.134853895983959
9,40,10,9,240.82927215672095,0.0,8.877902204771946
10,40,10,10,240.82927215672095,0.0,26.735675281117892
11,40,10,11,240.82927215672095,0.0,25.31276961845002
12,40,10,12,240.82927215672095,0.0,17.6488162759302
13,40,10,13,240.82927215672095,0.0,8.360198205770516
14,40,10,14,240.82927215672095,0.0,0.0
15,40,9,0,246.65354399886593,246.65354399886593,245.87310223238345
16,40,9,1,246.65354399886593,168.98975659763838,239.15138859004017
17,40,9,2,246.65354399886593,113.82027982262744,155.43821776129099
18,40,9,3,246.65354399886593,72.7540396815718,160.35080548752734
19,40,9,4,246.65354399886593,27.42489337109413,138.77035140273892
20,40,9,5,246.65354399886593,0.0,108.78227850221118
21,40,9,6,246.65354399886593,0.0,30.607448196268592
22,40,9,7,246.65354399886593,0.0,9.33528686251246
23,40,9,8,246.65354399886593,0.0,11.074496883900636
24,40,9,9,246.65354399886593,0.0,8.936788006100743
25,40,9,10,246.65354399886593,0.0,21.320095644617354
26,40,9,11,246.65354399886593,0.0,17.289227127244544
27,40,9,12,246.65354399886593,0.0,6.172936079105682
28,40,9,13,246.65354399886593,0.0,0.0
29,40,9,14,246.65354399886593,0.0,0.0
30,40,8,0,252.71991475010879,252.71991475010879,251.9245072088812
31,40,8,1,252.71991475010879,177.67481497975322,242.97708951548267
32,40,8,2,252.71991475010879,124.73427371248326,163.18283694672448
33,40,8,3,252.71991475010879,85.34484613643521,172.81215984405068
34,40,8,4,252.71991475010879,41.32531907576164,141.93255314725155
35,40,8,5,252.71991475010879,4.001882732667127,126.80073075531745
36,40,8,6,252.71991475010879,0.0,28.787055075737726
37,40,8,7,252.71991475010879,0.0,12.736628537676651
38,40,8,8,252.71991475010879,0.0,15.075200484433992
39,40,8,9,252.71991475010879,0.0,8.997283621983273
40,40,8,10,252.71991475010879,0.0,16.791424695728367
41,40,8,11,252.71991475010879,0.0,7.386233081566607
42,40,8,12,252.71991475010879,0.0,6.177004348347959
43,40,8,13,252.71991475010879,0.0,0.0
44,40,8,14,252.71991475010879,0.0,0.0
45,40,7,0,258.46016485581873,258.46016485581873,258.4601648541885
