,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1963.8876888632885,1802.8959294554186,1834.3627509394555
49,1963.9181468520965,1802.895929458485,1834.3948449512586
48,1963.9492118036858,1802.8959294325014,1834.43720928227
47,1963.9809349924028,1802.8959294223228,1834.4774022826375
46,1964.0133805328796,1802.8959294126728,1834.5095179181283
45,1964.046615254822,1802.8959294348833,1834.5387823789333
44,1964.0795865274522,1802.8959294112428,1834.5715536442199
43,1964.1136900315853,1802.8959294283784,1834.6038149843903
42,1964.1556392842372,1802.8959294261722,1834.6345878989293
41,1964.1983202716385,1802.8959294132974,1834.6627609543702
40,1964.241844045951,1802.8959294062543,1834.6908340122832
39,1964.2865577614846,1802.8959294328627,1834.7100726958922
38,1964.3325247370346,1802.8959294296747,1834.7081956508741
37,1964.3798997950412,1802.8959294426602,1834.6964881438748
36,1964.4287607447486,1802.8959294197357,1834.6233454773476
35,1964.479194024109,1802.8959294022068,1834.6105458710124
34,1964.5312866992344,1802.8959293881157,1834.6458084094095
33,1964.5851282775768,1802.8959293497232,1834.814195364035
32,1964.6408093376458,1802.895929388605,1834.6452547811955
31,1964.6984242128376,1802.8959293800935,1834.6759266242066
30,1964.7580676137566,1802.8959294148228,1834.6224815620378
29,1964.821187595073,1802.8959293919168,1834.9015309617475
28,1964.8872470013418,1802.8959293721227,1834.8851079933847
27,1964.9556396720782,1802.895929351838,1834.8922655410954
26,1965.026456907247,1802.8959293316532,1835.0125742461444
25,1965.0998077814445,1802.8959293401892,1834.7841223638486
24,1965.1758077607128,1802.8959293312257,1835.0491941345877
23,1965.2545830964316,1802.8959293163869,1835.1497310900188
22,1965.3365229965284,1802.8959293032678,1835.1341409929082
21,1965.4216978179784,1802.8959292945262,1835.1786394690819
20,1965.5101152572756,1802.8959292865861,1835.2094653195606
19,1965.6020054537005,1802.8959292677941,1835.707601404011
18,1965.6976614756902,1802.8959292370548,1835.7303321094705
17,1965.7973173828955,1802.8959292500665,1835.469671356119
16,1965.90114501905,1804.8794002863372,1835.0166861059197
15,1966.0089898321905,1806.8628713305588,1834.2682228749861
14,1966.1232311442002,1808.8463423642029,1835.251918354942
13,1966.2437956892988,1810.829813431711,1834.8557226530334
12,1966.3710385019824,1812.8132844716722,1834.6186311833028
11,1966.5062770333025,1814.796755572372,1832.8856497175725
10,1966.6602403415543,1816.7802266702547,1832.8758778146014
9,1966.8199297855124,1818.763697761797,1832.9185423015304
8,1967.2877973772192,1822.7306398975538,1836.0968828970783
7,1969.623604960011,1828.6810530430844,1839.3426103363968
6,1972.277931019129,1834.6314662055966,1841.5430440004209
5,1973.8260954178281,1844.548821619947,1844.5488217512664
4,1976.2348831457425,1858.4331190067137,1858.4331191809679
3,1970.4130300486602,1882.2347716905842,1882.2347720275297
2,1979.1177885652792,1929.8380776093716,1929.8380777397078
1,2084.8721284898706,2072.6479943764325,2072.647994927488
