,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1681.364159599222,1416.076808230818,1500.6433467961278
49,1681.420512405898,1416.1616130394154,1500.5537084012806
48,1681.4779013175817,1416.2458739109516,1500.046073895668
47,1681.5363012837872,1416.33184357554,1500.7662524303687
46,1681.595648914456,1416.418658947953,1495.123312278472
45,1681.6557733029608,1416.5049637917011,1494.9462874239593
44,1681.715935224563,1416.5921175736994,1495.3279477569401
43,1681.7746253036717,1416.678903700324,1495.0864612720811
42,1681.8344198589675,1416.7630784186492,1494.6460290749676
41,1681.8953423380863,1416.8452010202536,1502.2672780443788
40,1681.9574173401006,1416.92153438797,1502.1873127562326
39,1682.0206707264028,1416.9870776422943,1499.7500337407487
38,1682.0851301751009,1417.0329351902926,1501.4571864675077
37,1682.1508226497574,1417.0419579844415,1505.2383465131509
36,1682.2177659252234,1417.0218652654112,1496.2019027381566
35,1682.2860063065757,1417.1545918568736,1502.2038642726732
34,1682.3555812779825,1417.2823104157815,1496.168493501839
33,1682.4265305750685,1417.4051444444096,1502.5588331030542
32,1682.4988955799015,1417.5282328389549,1503.4589500128643
31,1682.5727240676342,1417.6599998256834,1502.788705071783
30,1682.648063673319,1417.8174583477783,1496.5788133387482
29,1682.7249702974946,1417.9506865282083,1501.9446651273533
28,1682.8035143976651,1418.0745971640995,1503.9016650029791
27,1682.883767651249,1418.1925541537482,1499.3663255004387
26,1682.9658126914005,1418.3591476544775,1497.2882399870753
25,1683.0497427562511,1418.5695298583669,1501.1992877023386
24,1683.1356646683191,1419.0879072537662,1499.5807277494707
23,1683.223701957211,1419.466846482664,1501.93976769922
22,1683.3139979072794,1419.7935265932954,1498.9640423475087
21,1683.4067326150468,1420.0632372591556,1496.8677363330619
20,1683.5021217265876,1420.2364495650256,1497.6581986524795
19,1683.600377469715,1421.096849183143,1498.302491206955
18,1683.7017882113473,1421.066462282594,1492.2094535281324
17,1683.8067132129247,1419.0423111400285,1490.799849372492
16,1683.915622531769,1419.8548250061576,1488.0205734242058
15,1684.0290355773668,1420.3001368850207,1483.3454368553687
14,1684.1476615490956,1420.7316953595216,1480.7782373055104
13,1685.083605401496,1421.0945244921375,1472.794496979056
12,1687.2055889898472,1421.4614347835284,1468.8910489727186
11,1689.3244720021667,1421.8408604605863,1464.306810535791
10,1691.4404982236263,1422.2272343675538,1460.5949730153943
9,1693.576863525615,1422.63046374554,1457.1048152741762
8,1695.8282110934188,1423.053636039447,1453.3992479638316
7,1698.1386475227735,1423.4879539000635,1451.1529050761328
6,1703.2700339231922,1425.806905657613,1450.0929926570816
5,1709.8001757729064,1428.1664956848902,1445.62004451221
4,1719.9977816537792,1430.3342829696107,1434.9246327089193
3,1734.0602018413078,1427.1957352134332,1424.135898298344
2,1716.2126312750083,1501.8006784503514,1502.9536073597073
1,1859.390807312889,1741.800677647765,1741.8006780865544
