,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1569.3668526301246,1213.4384417060367,1372.3076304378783
49,1569.4184678831614,1213.882649989017,1373.7598016753088
48,1569.471146751088,1214.3005881730653,1372.8371974528034
47,1569.5249332722938,1214.6860471700213,1370.53149745497
46,1569.5798728424102,1215.0264005401752,1370.5360000641783
45,1569.6360131901947,1217.3713879150368,1370.9769947012483
44,1569.6934041085638,1215.2857791427166,1370.7181426702666
43,1569.7520979640126,1214.4657958895982,1371.3128077756462
42,1569.8121481538697,1214.3621624419127,1372.1103943908827
41,1569.8736115716094,1214.1538177080668,1372.1585255887785
40,1569.9365477084393,1213.8277323928608,1371.956591360374
39,1570.0010183534678,1213.3052324194568,1372.9271448350148
38,1570.0670869295982,1212.2804618487025,1373.5781603421717
37,1570.1348219012152,1212.100553298511,1372.3608540852886
36,1570.2042946366312,1212.6728652609922,1372.8757893414295
35,1570.2755798725198,1213.5963616103338,1372.6984613114737
34,1570.3487567431703,1214.575586362539,1372.6015386591034
33,1570.4239086734617,1215.0675167659574,1371.7932527646994
32,1570.5011234998458,1215.2121599191046,1373.5032993916916
31,1570.5804939613922,1215.3942616169245,1373.027512350436
30,1570.6621222850895,1215.6426030373266,1371.6747795716735
29,1570.7461172483859,1215.9206415455558,1370.3978426911947
28,1570.832596120018,1216.261546093798,1370.312462047244
27,1570.9216873352648,1216.590217609233,1369.696902553737
26,1571.0135318079629,1216.9533826873849,1367.9831361508568
25,1571.1082856029366,1217.320461684198,1366.1149768073014
24,1571.2061197290495,1217.700714416204,1365.3846084595082
23,1571.3072334675423,1218.1003772917425,1362.9831604394035
22,1571.4170196530192,1218.5234502934616,1361.2057709185492
21,1571.5310293390064,1218.9706260918122,1358.574027788738
20,1571.6488052614495,1219.485580483129,1356.7129734063953
19,1571.7706603576173,1220.0318190930582,1355.816761798059
18,1572.587097494498,1220.6099037806284,1354.333993971171
17,1574.712334842378,1221.2190102479385,1352.5353334305278
16,1576.8422341784317,1221.871211473112,1354.8648093642184
15,1578.9772537333943,1222.5702406873163,1354.8225511494754
14,1581.118285815571,1223.3225707955903,1353.0272406779663
13,1583.2659033535342,1224.1356487464848,1361.6748638838405
12,1585.4221680129335,1225.0446709813107,1369.9795811267522
11,1587.5859899810046,1226.0183664263513,1366.4760047009147
10,1589.749609812192,1227.1053327933673,1367.0519621158246
9,1592.630584936427,1228.2729331477005,1350.7220547934687
8,1598.9430414548929,1229.5833217286572,1334.837029409588
7,1605.3156025074022,1231.7424074536232,1324.8838505077204
6,1612.5861905573395,1236.1139470290814,1293.0672406954393
5,1625.0961787046517,1242.128485015149,1292.7000489033624
4,1642.8541965553115,1251.2785317680825,1293.6786822720346
3,1669.83590012978,1251.09520842738,1258.9595166764636
2,1653.6247563049494,1251.832713478552,1288.0767820776955
1,1836.4870450941344,1611.2623985844978,1611.262398914667
