,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1189.6986972131392,238.47511268066788,760.0278555422714
49,1189.7281152719904,238.76115116376047,763.8919778952229
48,1189.7574505923042,239.0495460197737,767.6555181293702
47,1189.786054639296,239.35494375887978,770.2658793853545
46,1189.8141074873859,239.6613030343591,774.4738689971085
45,1189.841723228141,239.9755028901352,777.659503779439
44,1189.8689374700928,240.2980421057274,779.370083522972
43,1189.895908348166,240.62894237083708,782.5894599138044
42,1189.9222760664754,240.96671946117885,786.2143614424947
41,1189.9478289835863,241.30903736980463,789.2675580014095
40,1189.9723793092876,241.64124444999356,791.4870232715834
39,1189.995029151469,241.98696109016055,794.8684795329464
38,1190.016245988151,242.605449088947,797.8416781651275
37,1190.0358999355724,244.14192267801616,800.841784369077
36,1190.0541106007129,246.40650110643224,801.6640485522747
35,1190.0715104593771,248.9595720690436,804.4993861289975
34,1190.0918037070212,251.54559842372623,806.407388123402
33,1190.111705514236,253.955382063819,811.4317742074129
32,1190.1272229312713,256.59865259665906,811.442096029779
31,1190.1833955576344,259.2499100776264,815.0067469276935
30,1190.5136277919253,261.9101842293793,816.9116987322369
29,1190.6242599540685,264.58064280929386,816.1020856502619
28,1190.613968955582,267.2625255423812,818.6559261401904
27,1190.5154532074127,269.95726762025004,823.5649682551824
26,1190.3439958916213,272.6664977803267,831.1277644329593
25,1190.4682899002407,275.41996126861943,831.707901189647
24,1190.572249477872,278.19811762065916,832.9026666785829
23,1190.7014038353204,281.0013184682156,832.6867548446503
22,1190.885527986581,283.8265154517078,835.6324415883122
21,1191.0869430558987,286.6845774580517,834.6986219595451
20,1191.0590208090084,290.1267108672741,841.4770284470071
19,1191.1575943680557,297.36580160737634,839.7998207454373
18,1191.2764621288602,304.6423797854591,840.858674152869
17,1191.3886480104663,311.94287566239893,829.4599449549298
16,1193.6968015072257,319.28112959205066,818.0880953192169
15,1195.9780277328948,326.65772968790884,807.3786411213814
14,1199.1962281990793,334.0743536523618,793.2937360906119
13,1209.0125107771971,346.51788485214877,773.6396593044029
12,1220.7886954240485,360.25534968536783,783.9277008513181
11,1232.583768490845,373.93206926348677,794.6715057218229
10,1245.8598118239024,391.48344776817044,847.3819162274265
9,1263.2203811996617,412.58934272854384,926.4779407218836
8,1283.074727864679,437.3281184229621,938.6406340947416
7,1319.4085575124654,466.27538713333036,1001.8603410029048
6,1374.8229651202164,505.3220958570097,1022.0583916210935
5,1447.2443066788574,558.2718280451884,1036.297638196055
4,1530.4178806899165,634.1024211941605,1087.0572990803948
3,1622.5117729127558,746.0369968450925,866.9092066179351
2,1621.8472344122358,528.6405875585588,1058.3881866989536
1,1836.4870445684464,1526.1155303981823,1526.1155320852183
