,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1165.654299072703,159.47615343844373,712.4611374505008
49,1165.6911671755447,159.7266563613025,716.7393838466523
48,1165.7264673396503,160.01342182136952,719.4447133929377
47,1165.7606699743383,160.36197189860383,723.127146950748
46,1165.7987041877009,160.75658201091773,726.7251707467788
45,1165.8387225864672,161.4940303872578,729.3128951296392
44,1165.8784090971096,162.72055035929972,732.0340315048132
43,1165.9198922587566,163.84324161628615,735.5695081309543
42,1165.961066261029,164.94847084865594,739.2400335016534
41,1166.0002575832127,165.98457151420467,742.6528747312128
40,1166.0379475055242,167.07515539066847,744.686521897133
39,1166.0719064309126,168.23412241087698,749.1708965523183
38,1166.103439106188,169.42429239185745,750.8028653880325
37,1166.1326805452231,170.65061940550808,753.2619872349161
36,1166.1603480743074,171.96732115774495,754.4401196100993
35,1166.1887255994427,173.3737663746424,758.7759087046545
34,1166.216271556489,174.86898422027645,758.6723652684495
33,1166.2464561151373,176.45176951523814,761.5059854098846
32,1166.2728629224566,178.12091814500062,764.9094308487406
31,1166.299436898482,179.87344479674937,764.9261396935717
30,1166.4967196353134,181.69732628929404,768.8888037900974
29,1166.7709141648443,183.6007905093786,771.6393650590223
28,1166.8517997483264,185.58512143543118,772.679077554597
27,1166.8210560390885,187.65538598382398,774.3162676604218
26,1166.5992006455563,189.81200004642605,776.7583111832008
25,1166.628723544908,192.05420031392526,779.2099512516774
24,1166.7438535471033,194.3710711349126,784.0336721958479
23,1166.8801321594062,196.76124071498805,783.9539174741391
22,1167.0396881211134,200.18219400640433,796.4892021965095
21,1167.312808207698,206.74553476555388,806.4938931573
20,1167.2513962071253,213.3930747048331,805.290311946695
19,1167.3488988853426,219.84479345062783,810.248455473254
18,1167.4714481805752,226.09433656864675,813.5469277574763
17,1167.580680476854,232.34258390608164,782.9612362376464
16,1169.947869019654,238.9140981759149,781.2026546710817
15,1172.168948311188,245.82635801462862,778.3542408175858
14,1179.860310435735,258.3209066658858,758.8357532271759
13,1191.0776736418595,271.7690396897549,736.9135793029319
12,1202.8574710885582,285.1866404393238,726.9954689360175
11,1214.6568046485186,300.78472339811435,762.8391214139915
10,1227.8805213254402,322.27664080623975,814.1786918154506
9,1248.2524712851769,344.3092983207411,862.2236200758358
8,1271.1033201421455,375.15834042875497,923.482991481448
7,1311.6881834144156,411.20762872095673,976.674812424292
6,1374.6432630551594,457.2209304317621,1001.731425287066
5,1447.0923576066045,531.2166527084149,1027.2838971944484
4,1530.3045164438206,606.799516912153,1087.9238051699554
3,1622.3211407294443,734.0226129503662,866.9311566046572
2,1621.8516429017916,519.4415551672481,1058.3881866951112
1,1836.4870447673038,1526.1155295230217,1526.1155320780608
