,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1477.3384104061804,1035.3102424500364,1244.1674897309942
49,1477.3529998563542,1035.495853758512,1244.0737983617869
48,1477.368870083234,1035.6824919820558,1244.2647998107618
47,1477.3860638429105,1035.8699272874037,1244.1615984523753
46,1477.4046128845607,1036.0578308712356,1244.261025756405
45,1477.4245431495874,1036.2457909026389,1244.0047950324915
44,1477.4458759710099,1036.4332327634786,1243.9320469162476
43,1477.4686312304007,1036.6383038934662,1243.713955250338
42,1477.492830939979,1036.9145032962485,1243.8092457440541
41,1477.5185021782572,1037.1958989935126,1243.6468324796517
40,1477.5456801542275,1037.4826837390483,1243.5366917812873
39,1477.574411052775,1037.7750264899362,1243.561596102842
38,1477.6047554059578,1038.0730529373536,1243.231997399156
37,1477.636786507694,1038.3798099376897,1243.0920848980766
36,1477.6706003677823,1038.6962519155443,1242.6546294090144
35,1477.7063143801395,1039.015792065421,1242.2975851135789
34,1477.7440674474553,1039.3402927728855,1241.9619847975252
33,1477.7840243223225,1039.673060795419,1241.2156964266565
32,1477.8263765695074,1040.0147324891957,1240.7093130676546
31,1477.8713487338985,1040.3659161065414,1239.6628751343308
30,1477.9185282280541,1040.7135247333943,1238.3610818457769
29,1477.9685315748789,1041.0659028794475,1236.6204037732427
28,1478.0224512792413,1041.4212054933048,1235.07877902649
27,1478.0807096915628,1041.7692584234342,1233.0697200023844
26,1478.1426547565875,1042.0874095341587,1231.6582656046592
25,1478.214756835098,1042.3200826624284,1232.0733644720365
24,1478.3058201128795,1045.1147088423945,1229.554488945355
23,1478.4251023802447,1042.2808824581082,1230.5913152059072
22,1478.56319243255,1040.234359299439,1234.9091030724053
21,1478.7245697769379,1041.0013846922316,1236.6175354032669
20,1478.9707746451113,1041.6592786264216,1237.035003921104
19,1480.2480695469987,1043.10357319905,1238.375755520088
18,1482.3735694576487,1044.0693670563764,1240.1374036434931
17,1484.506633984658,1044.626009934115,1242.9937794146163
16,1486.6482762692608,1044.7605889904773,1242.8160827932538
15,1488.7997574194178,1044.3706663519642,1243.5602033172158
14,1490.962718444594,1046.6476844747322,1244.9664877791306
13,1493.1392699307623,1049.5622593623168,1241.8287017972725
12,1495.3333195873759,1057.8484249468252,1249.3937193995375
11,1500.1904053661403,1061.2226125118898,1248.6429426790824
10,1506.419404205324,1063.2967680479019,1246.5201000687098
9,1512.6581911138574,1066.1635470015358,1241.7712859359124
8,1518.912685469976,1070.9311442938501,1244.8364158222853
7,1529.9290990975308,1078.0034994726973,1248.8777984330084
6,1542.458599727721,1084.8400490932256,1242.7112073760807
5,1561.524844519322,1094.5341121870733,1232.176133544113
4,1588.4707345048544,1108.1143061663945,1162.7612251385708
3,1635.2730244834859,1120.6971178415067,1087.2481507501357
2,1626.5061893809213,1036.4998128600516,1186.9042418538363
1,1836.4870449544148,1541.8409096295177,1541.8409114441292
