,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1085.5984512701036,0.0,576.2848233844973
49,1085.680405796089,0.0,578.4552862628443
48,1085.7612969473953,0.0,581.9471458097928
47,1085.8418950370105,0.0,583.2616421894757
46,1085.9225531844422,0.0,585.9242252816524
45,1086.003005489813,0.0,588.5970014826859
44,1086.0761084681253,0.0,590.8093663345635
43,1086.1354191732985,0.0,592.2707230673079
42,1086.1786562196867,0.0,593.9315426202246
41,1086.2247739014542,0.0,593.914578470172
40,1086.3001812426774,0.0,598.9492110935328
39,1086.371725466887,0.0,599.1135809751436
38,1086.440670042564,0.0,603.4085637214891
37,1086.5067118500397,0.0,605.0329542053896
36,1086.56970212434,0.0,609.5321601553228
35,1086.6297611361242,0.0,606.4801359459947
34,1086.6876131494155,0.0,609.6648363635846
33,1086.7422010053708,0.0,607.8574280552608
32,1086.799021407204,0.0,609.8644022616706
31,1086.8552283451277,0.0,610.0216605503704
30,1086.9111980751989,0.0,609.4492096657832
29,1086.9958442283785,0.0,611.7885810245226
28,1087.5063927134177,0.0,616.1025995821855
27,1087.644874000567,0.0,622.6953239043096
26,1087.5787315189423,0.0,631.8650115341221
25,1087.191546582403,0.0,636.2681518425497
24,1087.360555658906,0.0,649.6094671413181
23,1087.7479729803404,0.0,647.0237701476084
22,1089.9208248407476,0.0,669.0690789251651
21,1092.3471959562078,0.0,682.5729942899483
20,1094.1910959632746,0.0,684.7434601714698
19,1095.9866048850774,0.0,703.3521599147542
18,1097.92666187016,0.0,712.0611739207175
17,1100.5381231052004,5.741373544050542,697.0936315619614
16,1105.8291188556552,10.939177752471124,679.6945464150535
15,1112.2499119768825,18.568601501274003,659.9643360681953
14,1120.3464438806552,31.647716397370232,640.300490333633
13,1133.321055438514,48.28177124323511,607.1790078221852
12,1150.1212781561428,65.57616661382448,592.2131481950732
11,1166.9333643670175,88.67479682522244,620.4581314266903
10,1185.5675685921685,118.80458528681427,704.71789459377
9,1213.4750305329094,153.8880141301939,781.7856959539237
8,1243.7496575057394,196.56349874805716,846.0872975615191
7,1301.5262018076833,252.0614033162029,935.5790493769791
6,1374.1631803634384,317.5933735155586,981.1911698947492
5,1446.6679335208144,403.8107157602956,1032.6143910566068
4,1530.0419995622387,534.8938246227203,1086.822415839717
3,1622.6341265789517,721.7807615544209,866.9830904347991
2,1621.85562255365,508.446091645026,1058.3881866874901
1,1836.4870449656644,1526.1155293779261,1526.1155320592552
