,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1513.6198421060305,1108.3641274222564,1297.0220847452406
49,1513.6366687000727,1108.5909336999414,1297.1227239408736
48,1513.654264026825,1108.8197881849242,1297.0868819101977
47,1513.6726713244957,1109.0536250549321,1296.8295375406192
46,1513.691934146576,1109.2927825510374,1296.8115871645252
45,1513.7120989982725,1109.5378453126107,1296.7458424108681
44,1513.7332129109386,1109.7895245284194,1296.5200586465596
43,1513.7527192073335,1110.048682725865,1296.5488942595023
42,1513.7709009208047,1110.3246224408513,1296.483947200249
41,1513.7900286033168,1110.6027112545826,1296.3830836344966
40,1513.8101288560733,1110.891890078568,1296.4743016128657
39,1513.8312085472992,1111.1940112495165,1296.2984227475345
38,1513.853245324146,1111.511529091368,1296.21628111806
37,1513.8563106363704,1111.8475352669038,1296.1636606639167
36,1513.8558156198794,1112.20598767047,1295.9378679282233
35,1513.8590163722483,1112.592747231948,1295.8104586242025
34,1513.8653659694407,1113.0171585552844,1295.510129222409
33,1513.874428980813,1113.4870388156066,1295.2997239301346
32,1513.8858537024212,1114.0177036501818,1294.8573732899251
31,1513.9088046872153,1117.5438035735053,1294.2267697004784
30,1513.941540449197,1114.8532768883692,1293.4258429041317
29,1513.9747417421127,1110.1929312153834,1292.4987208446746
28,1514.0103471729026,1111.492312553766,1291.7704452203025
27,1514.049773924249,1113.0433568987896,1289.4977945659678
26,1514.0943921732146,1114.1539059363934,1287.0092157604565
25,1514.145630332973,1115.167341664054,1285.8815614436116
24,1514.205428065764,1115.2448795249888,1284.3298628956932
23,1514.2800676489978,1115.3545258838021,1282.6301019453444
22,1514.4356860475373,1115.527232955729,1281.4112392798804
21,1514.542649033856,1115.7726335681566,1281.4815859273424
20,1514.734842162006,1116.0965286017808,1282.3287926966104
19,1516.303385267467,1116.5018154996424,1284.6680312537871
18,1518.424401322506,1116.9867207934446,1283.7262916826621
17,1520.5521444436733,1117.563243305731,1282.999125151767
16,1522.6874762622676,1118.2384950153253,1284.3290419752318
15,1524.8314708025046,1119.019988744177,1284.5902617386869
14,1526.9855397595916,1119.9466158076468,1288.8258041840947
13,1529.1515715321723,1121.284520691088,1285.9337781041315
12,1531.3334303977974,1125.4606618854837,1287.5991964703696
11,1533.5369992571736,1129.9060317159835,1290.6497834119266
10,1538.4324908860506,1130.278049576071,1292.89995315843
9,1544.636079772046,1131.7492343435154,1291.8944881908478
8,1550.8622635749523,1133.8733457102353,1297.8073447642355
7,1558.009736103049,1141.7062970208722,1273.6688252441438
6,1570.5048807235355,1148.341034430911,1245.4126945350547
5,1585.7242872271809,1154.538782933989,1233.724797717993
4,1608.8722551188428,1164.790528081407,1193.03834386851
3,1647.035994514063,1172.3678365024475,1162.9621219157002
2,1634.31388194631,1120.630695697873,1224.3088614221303
1,1836.487044940857,1563.6590916147334,1563.6590932105344
