,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1657.4841894060808,1372.7584678728176,1477.525893311592
49,1657.5373033150752,1372.855939034356,1475.8553375930658
48,1657.590753913819,1372.9548663177225,1477.940383891721
47,1657.6437648990513,1373.0725079127758,1477.6053903309169
46,1657.7000025354253,1373.17303288164,1477.1670239072462
45,1657.7573585642415,1373.2774905890985,1473.3348026698766
44,1657.8158613286369,1373.3842840721586,1478.369113070277
43,1657.8755381923975,1373.4943793625982,1475.5493165835892
42,1657.9364175369487,1373.6060368186043,1472.3960024556677
41,1657.998528183173,1373.7197674257852,1474.7915916711743
40,1658.062095240591,1373.8365700067432,1476.04658571155
39,1658.1280564212336,1373.9572968158432,1471.2863679059888
38,1658.195440267789,1374.0816333387734,1477.153195016619
37,1658.2641735768127,1374.2092724029644,1469.3664062104092
36,1658.3342932917944,1374.3399175633688,1476.4440195847847
35,1658.4058351121162,1374.4734642978747,1468.5406984748868
34,1658.47883665156,1374.609148174823,1476.1677291145234
33,1658.5533379760998,1374.7438431245776,1476.203696245201
32,1658.6293762330372,1374.8703295118592,1472.2357633155539
31,1658.7070165005034,1374.9501778677777,1477.3547836026219
30,1658.786315464461,1374.9825935774363,1477.7958265725474
29,1658.867334418478,1375.5972171823194,1475.0400237336867
28,1658.9501438193522,1375.7643720866108,1475.6643882919814
27,1659.0348165400865,1375.5854918386565,1476.5164742351008
26,1659.121436916556,1375.9545470723049,1473.5186173456289
25,1659.210100984305,1376.2500332133272,1475.161468619757
24,1659.3009161106752,1376.5186036310813,1473.2239183940578
23,1659.3940076324689,1376.7753674869434,1474.2676079229207
22,1659.4895196119494,1377.0284271132216,1474.2907004610997
21,1659.5876196474915,1377.281193431204,1470.578888556487
20,1659.688505883363,1377.5355206272272,1470.0528150976427
19,1659.7924405315289,1377.792426603859,1467.894545586679
18,1659.8997131650835,1378.0364512220322,1468.8375720530182
17,1660.010653490632,1378.2402323892127,1465.3455778114576
16,1660.12574981961,1378.454124560279,1460.5034525179506
15,1660.2455173896553,1378.8575330346334,1458.552869294229
14,1661.1633782262613,1379.155450072748,1456.6209345838568
13,1663.2874774078623,1379.4210178670733,1460.2172577201081
12,1665.4160723054779,1379.6976010220753,1461.6507138383126
11,1667.5396088808993,1380.0100038272456,1457.8606970211806
10,1669.6649285570213,1380.384483302218,1430.1232467588675
9,1671.8178329124821,1380.8359241393205,1422.98292011209
8,1674.092079047136,1383.7353432338741,1414.4239859619709
7,1677.1632269435233,1386.322177779864,1413.230420297783
6,1683.5734280327788,1388.784419292299,1412.541310653837
5,1689.9485597501453,1390.3213831166006,1408.9501747196975
4,1702.2587058664096,1393.816067821419,1402.3873239565219
3,1721.5989715049855,1380.7733784990685,1377.8654566195958
2,1700.5683354680136,1448.4751950238501,1452.4421372228767
1,1849.4389243517585,1710.2933759973841,1710.2933764682316
