,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,1133.6072010343105,56.99507464110323,664.5610241869358
49,1133.6604279637816,57.71218177011289,663.8182414665811
48,1133.712540083122,58.52861835588952,668.2409756288678
47,1133.7625403742013,59.357769166106834,660.7436038510428
46,1133.8116660465269,60.199984479163646,672.6479776806686
45,1133.867073759951,61.055725284718235,666.96588584547
44,1133.9218630114124,61.92558856010699,676.535951112324
43,1133.9759795148989,62.81032360859406,672.9050682541751
42,1134.029287760614,63.710854218292695,676.0598102924263
41,1134.0816378065917,64.67285437708324,678.695803308897
40,1134.1335011582753,65.73747202974651,682.4339993357577
39,1134.1837091607163,66.79282151258488,685.3632050098282
38,1134.23098946775,67.85098730465313,688.2746579276316
37,1134.2758941621441,69.5637912399627,690.5668779975273
36,1134.3198420347494,70.92125036979795,691.7536986294506
35,1134.3613420250833,72.16574540813652,695.4510079053864
34,1134.4006782699164,73.35095549332263,696.7013091313951
33,1134.4387888906692,74.52442199872502,698.7865790601239
32,1134.4770182044338,75.70535796684537,700.8019511462683
31,1134.513551730686,76.9062836243934,703.788713372361
30,1134.55443848969,78.1364685399841,705.8310098935522
29,1134.928558780414,79.40356978786778,706.2962972297257
28,1135.1293101079905,80.71452251512747,709.437266854836
27,1135.1660768573506,82.49024759298374,712.1285172645165
26,1135.019569871381,86.96791852997029,715.3553977644933
25,1134.8509009862014,91.57583213627913,721.9810760011703
24,1134.9835639802354,96.35664565876498,727.4442393953252
23,1135.1250728623822,101.60470598586926,756.3703542673612
22,1135.2834415664183,106.08188276758962,749.7166436474072
21,1135.590677138932,110.52655084791449,761.3492322501546
20,1135.5459055539823,114.94441708340563,765.2052280203966
19,1135.6146014720596,119.30989501125012,776.9606244779402
18,1135.7316811668748,124.01207551671713,751.9980734141149
17,1136.1467822232942,129.69645908848685,753.4277846685466
16,1141.6625292884087,140.6374576598286,749.4435700011172
15,1147.9570178151023,152.61716095248693,730.8987752911071
14,1156.0543612014135,165.24748209292187,711.5422984306159
13,1167.1908647932332,178.3888769716385,691.3946908403636
12,1178.962300754768,195.95549988288377,669.7214882838833
11,1190.7747396296666,217.27022653966958,704.2390776535456
10,1209.4619957982277,239.84701316818752,730.96215828489
9,1232.2896246027567,271.8175526766803,793.5774596077239
8,1255.6952560293228,308.22442596587666,883.3623885600038
7,1303.4680138772535,352.37091033091104,958.8900072413392
6,1374.429399015989,406.88604434912054,994.4079576815959
5,1446.9038536425599,471.8260053228347,1027.4135044626241
4,1530.171576364847,574.6047699752608,1088.3794746288554
3,1622.1230343504483,722.3666297974862,866.9542403449932
2,1621.8643515172296,514.9485396435232,1058.3881866930192
1,1836.4870448967645,1526.115529698836,1526.1155320848661
