,max_above_TOCS_baseline,max_above_TOCS_perfect,max_above_TOCS_hefs
50,2922.061378425275,2891.821548611542,2891.821547238415
49,2922.0790851657216,2891.821548405684,2891.82154724043
48,2922.0959506522954,2891.821548205481,2891.8215472392976
47,2922.1121681264663,2891.821548077142,2891.82154723942
46,2922.1284403829272,2891.8215479464607,2891.8215472398365
45,2922.1447471391234,2891.8215478631414,2891.8215472400802
44,2922.161070643949,2891.821547793257,2891.8215472416587
43,2922.177393267245,2891.8215477108056,2891.8215472427096
42,2922.192528722239,2891.821547654203,2891.821547242867
41,2922.2069892786776,2891.8215476660807,2891.821547242278
40,2922.221357149844,2891.821547532128,2891.821547242398
39,2922.2354882359423,2891.821547483801,2891.821547243285
38,2922.2495978265065,2891.821547438548,2891.821547243083
37,2922.263637059152,2891.821547566818,2891.821547243344
36,2922.2775249069314,2891.821547478324,2891.8215472446054
35,2922.2912241911413,2891.821547410927,2891.821547246062
34,2922.3044877494053,2891.8215473664227,2891.821547245346
33,2922.3154593127015,2891.8215473462037,2891.8215472423017
32,2922.3262409890376,2891.8215473367686,2891.8215472375787
31,2922.337004515508,2891.8215473229557,2891.821547240612
30,2922.3478084823123,2891.8215473024807,2891.8215472403263
29,2922.358639821206,2891.8215472788434,2891.821547233906
28,2922.3694819983657,2891.821547274818,2891.821547237943
27,2922.3804021484825,2891.821547257156,2891.8215472399274
26,2922.3914046120544,2891.8215473069795,2891.8215472393167
25,2922.4025071290116,2891.8215472491215,2891.8215472401234
24,2922.4137302383265,2891.8215472501747,2891.821547239802
23,2922.425097772457,2891.8215472465536,2891.821547242572
22,2922.436640597206,2891.8215472569914,2891.821547242758
21,2922.448400438037,2891.8215472583793,2891.8215472434736
20,2922.460423220294,2891.8215473004734,2891.821547243877
19,2922.472764170973,2891.821547324787,2891.8215472388006
18,2922.4854863255864,2891.8215472778556,2891.821547257038
17,2922.498657572361,2891.8215472315005,2891.8215472473157
16,2922.512343869337,2891.821547203604,2891.8215472272436
15,2922.5327067736857,2891.821547268589,2891.8215472230854
14,2922.555264316678,2891.821547371572,2891.8215472355505
13,2922.572519543993,2891.8215473336722,2891.8215472193756
12,2922.590792143286,2891.8215472111424,2891.8215472114075
11,2922.6076635624245,2891.8215471456924,2891.8215472092384
10,2922.625206067628,2891.8215472514216,2891.8215471998496
9,2922.6424141442603,2891.8215473175887,2891.8215472215893
8,2922.661006458149,2891.8215472073302,2891.8215472140882
7,2922.669960993539,2893.805018440995,2893.805018336164
6,2922.6630116158444,2895.7884895491557,2895.788489357307
5,2922.6818098478648,2897.771960530488,2897.771960419554
4,2924.7353689521647,2899.7554315036036,2899.755431497372
3,2926.6795828417276,2905.7058448301627,2905.705844730692
2,2926.4766608847367,2915.623199803812,2915.623200092544
1,2947.3587365149942,2947.358736312668,2947.3587372575275
